"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"02074300","A02074300","-- Hígados grasos, frescos o refrigerados","",5,"020743","","","","","",""
"020744","A020744","-- Los demás, frescos o refrigerados","",5,"020744","","","","","",""
"_020744101","A020744101","--- Trozos","",6,"020744","","","","","",""
"02074410","A02074410","---- Deshuesados","",7,"020744","","","","","",""
"_020744211","A020744211","---- Sin deshuesar","",7,"020744","","","","","",""
"02074421","A02074421","----- Mitades o cuartos","",8,"020744","","","","","",""
"02074431","A02074431","----- Alas enteras, incluso sin la punta","",8,"020744","","","","","",""
"02074441","A02074441","----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas","",8,"020744","","","","","",""
"02074451","A02074451","----- Pechugas y trozos de pechuga","",8,"020744","","","","","",""
"02074461","A02074461","----- Muslos, contramuslos, y sus trozos","",8,"020744","","","","","",""
"02074471","A02074471","----- Patos semideshuesados","",8,"020744","","","","","",""
"02074481","A02074481","----- Los demás","",8,"020744","","","","","",""
"_020744911","A020744911","--- Despojos","",6,"020744","","","","","",""
"02074491","A02074491","---- Hígados (excepto los hígados grasos de pato)","",7,"020744","","","","","",""
"02074499","A02074499","---- Los demás","",7,"020744","","","","","",""
"020745","A020745","-- Los demás, congelados","",5,"020745","","","","","",""
"_020745101","A020745101","--- Trozos","",6,"020745","","","","","",""
"02074510","A02074510","---- Deshuesados","",7,"020745","","","","","",""
"_020745211","A020745211","---- Sin deshuesar","",7,"020745","","","","","",""
"02074521","A02074521","----- Mitades o cuartos","",8,"020745","","","","","",""
"02074531","A02074531","----- Alas enteras, incluso sin la punta","",8,"020745","","","","","",""
"02074541","A02074541","----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas","",8,"020745","","","","","",""
"02074551","A02074551","----- Pechugas y trozos de pechuga","",8,"020745","","","","","",""
"02074561","A02074561","----- Muslos, contramuslos, y sus trozos","",8,"020745","","","","","",""
"02074571","A02074571","----- Patos semideshuesados","",8,"020745","","","","","",""
"02074581","A02074581","----- Los demás","",8,"020745","","","","","",""
"_020745931","A020745931","--- Despojos","",6,"020745","","","","","",""
"030239","A030239","-- Los demás","",5,"030239","","","","","",""
"03023920","A03023920","--- Destinados a la fabricación industrial de productos de la partida 1604","",6,"030239","","","","","",""
"03023980","A03023980","--- Los demás","",6,"030239","","","","","",""
"_030241","A030241","- Arenques (Clupea harengus, Clupea pallasii), anchoas (Engraulis spp.), sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.), espadines (Sprattus sprattus), caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus), cab","",4,"0302","","","","","",""
"03024100","A03024100","-- Arenques (Clupea harengus, Clupea pallasii)","",5,"030241","","","","","",""
"03024200","A03024200","-- Anchoas (Engraulis spp.)","",5,"030242","","","","","",""
"030243","A030243","-- Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus)","",5,"030243","","","","","",""
"03024310","A03024310","--- Sardinas de la especie Sardina pilchardus","",6,"030243","","","","","",""
"03024330","A03024330","--- Sardinas del género Sardinops; sardinelas (Sardinella spp.)","",6,"030243","","","","","",""
"03024390","A03024390","--- Espadines (Sprattus sprattus)","",6,"030243","","","","","",""
"03024400","A03024400","-- Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)","",5,"030244","","","","","",""
"030245","A030245","-- Jureles (Trachurus spp.)","",5,"030245","","","","","",""
"03024510","A03024510","--- Jureles (Trachurus trachurus)","",6,"030245","","","","","",""
"03024530","A03024530","--- Jureles chilenos (Trachurus murphyi)","",6,"030245","","","","","",""
"03024590","A03024590","--- Los demás","",6,"030245","","","","","",""
"03024600","A03024600","-- Cobias (Rachycentron canadum)","",5,"030246","","","","","",""
"03024700","A03024700","-- Peces espada (Xiphias gladius)","",5,"030247","","","","","",""
