"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"02073319","A02073319","Desplumados, eviscerados, sin la cabeza, las patas, el cuello, el hígado ni la molleja, llamados «patos 63 %», o presentados de otro modo","",5,"020733","","","","","",""
"_0207335","A0207335","De ganso","",,"","","","","","",""
"02073359","A02073359","Desplumados, eviscerados, sin la cabeza ni las patas, con el corazón y la molleja o sin ellos, llamados «gansos 75 %»,o presentados de otro modo","",5,"020733","","","","","",""
"02073390","A02073390","De pintada","",5,"020733","","","","","",""
"020734","A020734","Hígados grasos, frescos o refrigerados","",4,"0207","","","","","",""
"02073410","A02073410","De ganso","",5,"020734","","","","","",""
"02073490","A02073490","De pato","",5,"020734","","","","","",""
"_02073501","A02073501","Trozos","",,"","","","","","",""
"_02073502","A02073502","Deshuesados","",,"","","","","","",""
"02073511","A02073511","De ganso","",5,"020735","","","","","",""
"02073515","A02073515","De pato o de pintada","",5,"020735","","","","","",""
"_020735201","A020735201","Sin deshuesar","",,"","","","","","",""
"_020735202","A020735202","Mitades o cuartos","",,"","","","","","",""
"02073521","A02073521","De pato","",5,"020735","","","","","",""
"02073525","A02073525","De pintada","",5,"020735","","","","","",""
"02073531","A02073531","Alas enteras, incluso sin la punta","",5,"020735","","","","","",""
"02073541","A02073541","Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas","",5,"020735","","","","","",""
"_0207355","A0207355","Pechugas y trozos de pechuga","",,"","","","","","",""
"02073551","A02073551","De ganso","",5,"020735","","","","","",""
"02073553","A02073553","De pato o de pintada","",5,"020735","","","","","",""
"_0207356","A0207356","Muslos, contramuslos, y sus trozos","",,"","","","","","",""
"02073561","A02073561","De ganso","",5,"020735","","","","","",""
"02073563","A02073563","De pato o de pintada","",5,"020735","","","","","",""
"02073571","A02073571","Gansos y patos semideshuesados","",5,"020735","","","","","",""
"02073579","A02073579","Los demás","",5,"020735","","","","","",""
"_0207359","A0207359","Despojos","",,"","","","","","",""
"02073591","A02073591","Hígados (excepto los hígados grasos de ganso o de pato)","",5,"020735","","","","","",""
"02073599","A02073599","Los demás","",5,"020735","","","","","",""
"020736","A020736","Los demás, congelados","",4,"0207","","","","","",""
"_02073601","A02073601","Trozos","",,"","","","","","",""
"_02073602","A02073602","Deshuesados","",,"","","","","","",""
"02073611","A02073611","De ganso","",5,"020736","","","","","",""
