"CODIGO1","CODIGO2","CODINT1","CODINT2","COMENTARIO","VALORCOMENTARIO","FECHA","TIPO_ACTUALIZACION"
"6020","6020","J6020","J6020","",""," ",""
"6110","6110","J6110","J6110","",""," ",""
"6120","6120","J6120","J6120","",""," ",""
"6130","6130","J6130","J6130","",""," ",""
"6190","6190","J6190","J6190","",""," ",""
"6201","6201","J6201","J6201","",""," ",""
"6202","6202","J6202","J6202","",""," ",""
"6203","6203","J6203","J6203","",""," ",""
"6209","6209","J6209","J6209","",""," ",""
"6311","6311","J6311","J6311","",""," ",""
"6312","6312","J6312","J6312","",""," ",""
"6391","6391","J6391","J6391","",""," ",""
"6399","6399","J6399","J6399","",""," ",""
"6411","6411","K6411","K6411","",""," ",""
"6419","6419","K6419","K6419","",""," ",""
"6420","6420","K6420","K6420","",""," ",""
"6430","6430","K6430","K6430","",""," ",""
"6491","6491","K6491","K6491","",""," ",""
"6492","6492","K6492","K6492","",""," ",""
"6499","6499","K6499","K6499","",""," ",""
"6511","6511","K6511","K6511","",""," ",""
"6512","6512","K6512","K6512","",""," ",""
"6520","6520","K6520","K6520","",""," ",""
"6530","6530","K6530","K6530","",""," ",""
"6611","6611","K6611","K6611","",""," ",""
"6612","6612","K6612","K6612","",""," ",""
"6619","6619","K6619","K6619","",""," ",""
"6621","6621","K6621","K6621","",""," ",""
"6622","6622","K6622","K6622","",""," ",""
"6629","6629","K6629","K6629","",""," ",""
"6630","6630","K6630","K6630","",""," ",""
"6810","6810","L6810","L6810","",""," ",""
"6820","6820","L6820","L6820","",""," ",""
"6831","6831","L6831","L6831","",""," ",""
"6832","6832","L6832","L6832","",""," ",""
"6910","6910","M6910","M6910","",""," ",""
"6920","6920","M6920","M6920","",""," ",""
"7010","7010","M7010","M7010","",""," ",""
"7021","7021","M7021","M7021","",""," ",""
"7022","7022","M7022","M7022","",""," ",""
"7111","7111","M7111","M7111","",""," ",""
"7112","7112","M7112","M7112","",""," ",""
"7120","7120","M7120","M7120","",""," ",""
"7211","7211","M7211","M7211","",""," ",""
"7219","7219","M7219","M7219","",""," ",""
"7220","7220","M7220","M7220","",""," ",""
"7311","7311","M7311","M7311","",""," ",""
"7312","7312","M7312","M7312","",""," ",""
"7320","7320","M7320","M7320","",""," ",""
"7410","7410","M7410","M7410","",""," ",""
"7420","7420","M7420","M7420","",""," ",""
"7430","7430","M7430","M7430","",""," ",""
"7490","7490","M7490","M7490","",""," ",""
"7500","7500","M7500","M7500","",""," ",""
"7711","7711","N7711","N7711","",""," ",""
"7712","7712","N7712","N7712","",""," ",""
"7721","7721","N7721","N7721","",""," ",""
"7722","7722","N7722","N7722","",""," ",""
"7729","7729","N7729","N7729","",""," ",""
"7731","7731","N7731","N7731","",""," ",""
"7732","7732","N7732","N7732","",""," ",""
"7733","7733","N7733","N7733","",""," ",""
"7734","7734","N7734","N7734","",""," ",""
"7735","7735","N7735","N7735","",""," ",""
"7739","7739","N7739","N7739","",""," ",""
"7740","7740","N7740","N7740","",""," ",""
"7810","7810","N7810","N7810","",""," ",""
"7820","7820","N7820","N7820","",""," ",""
"7830","7830","N7830","N7830","",""," ",""
"7911","7911","N7911","N7911","",""," ",""
"7912","7912","N7912","N7912","",""," ",""
"7990","7990","N7990","N7990","",""," ",""
"8010","8010","N8010","N8010","",""," ",""
"8020","8020","N8020","N8020","",""," ",""
"8030","8030","N8030","N8030","",""," ",""
"8110","8110","N8110","N8110","",""," ",""
"8121","8121","N8121","N8121","",""," ",""
"8122","8122","N8122","N8122","",""," ",""
"8129","8129","N8129","N8129","",""," ",""
"8130","8130","N8130","N8130","",""," ",""
"8211","8211","N8211","N8211","",""," ",""
"8219","8219","N8219","N8219","",""," ",""
"8220","8220","N8220","N8220","",""," ",""
"8230","8230","N8230","N8230","",""," ",""
"8291","8291","N8291","N8291","",""," ",""
"8292","8292","N8292","N8292","",""," ",""
"8299","8299","N8299","N8299","",""," ",""
"8411","8411","O8411","O8411","",""," ",""
"8412","8412","O8412","O8412","",""," ",""
"8413","8413","O8413","O8413","",""," ",""
"8421","8421","O8421","O8421","",""," ",""
"8422","8422","O8422","O8422","",""," ",""
"8423","8423","O8423","O8423","",""," ",""
"8424","8424","O8424","O8424","",""," ",""
"8425","8425","O8425","O8425","",""," ",""
"8430","8430","O8430","O8430","",""," ",""
"8510","8510","P8510","P8510","",""," ",""
"8520","8520","P8520","P8520","",""," ",""
"8531","8531","P8531","P8531","",""," ",""
"8532","8532","P8532","P8532","",""," ",""
"8541","8541","P8541","P8541","",""," ",""
"8543","8542","P8543","P8542","",""," ",""
"8544","8542","P8544","P8542","",""," ",""
"8551","8551","P8551","P8551","",""," ",""
"8552","8552","P8552","P8552","",""," ",""
"8553","8553","P8553","P8553","",""," ",""
"8559","8559","P8559","P8559","",""," ",""
"8560","8560","P8560","P8560","",""," ",""
"8610","8610","Q8610","Q8610","",""," ",""
"8621","8621","Q8621","Q8621","",""," ",""
"8622","8622","Q8622","Q8622","",""," ",""
"8623","8623","Q8623","Q8623","",""," ",""
"8690","8690","Q8690","Q8690","",""," ",""
"8710","8710","Q8710","Q8710","",""," ",""
"8720","8720","Q8720","Q8720","",""," ",""
"8731","8730","Q8731","Q8730","",""," ",""
"8732","8730","Q8732","Q8730","",""," ",""
"8790","8790","Q8790","Q8790","",""," ",""
"8811","8810","Q8811","Q8810","",""," ",""
"8812","8810","Q8812","Q8810","",""," ",""
"8891","8891","Q8891","Q8891","",""," ",""
"8899","8899","Q8899","Q8899","",""," ",""
"9001","9001","R9001","R9001","",""," ",""
"9002","9002","R9002","R9002","",""," ",""
"9003","9003","R9003","R9003","",""," ",""
"9004","9004","R9004","R9004","",""," ",""
"9102","9102","R9102","R9102","",""," ",""
"9103","9103","R9103","R9103","",""," ",""
"9104","9104","R9104","R9104","",""," ",""
"9105","9101","R9105","R9101","",""," ",""
"9106","9101","R9106","R9101","",""," ",""
"9200","9200","R9200","R9200","",""," ",""
"9311","9311","R9311","R9311","",""," ",""
"9312","9312","R9312","R9312","",""," ",""
"9313","9313","R9313","R9313","",""," ",""
"9319","9319","R9319","R9319","",""," ",""
"9321","9321","R9321","R9321","",""," ",""
"9329","9329","R9329","R9329","",""," ",""
"9411","9411","S9411","S9411","",""," ",""
"9412","9412","S9412","S9412","",""," ",""
"9420","9420","S9420","S9420","",""," ",""
"9491","9491","S9491","S9491","",""," ",""
"9492","9492","S9492","S9492","",""," ",""
"9499","9499","S9499","S9499","",""," ",""
"9511","9511","S9511","S9511","",""," ",""
"9512","9512","S9512","S9512","",""," ",""
"9521","9521","S9521","S9521","",""," ",""
"9522","9522","S9522","S9522","",""," ",""
"9523","9523","S9523","S9523","",""," ",""
"9524","9524","S9524","S9524","",""," ",""
"9525","9525","S9525","S9525","",""," ",""
"9529","9529","S9529","S9529","",""," ",""
"9601","9601","S9601","S9601","",""," ",""
"9602","9602","S9602","S9602","",""," ",""
"9603","9603","S9603","S9603","",""," ",""
"9604","9604","S9604","S9604","",""," ",""
"9609","9609","S9609","S9609","",""," ",""
"9700","9700","T9700","T9700","",""," ",""
"9810","9810","T9810","T9810","",""," ",""
"9820","9820","T9820","T9820","",""," ",""
"9900","9900","U9900","U9900","",""," ",""
"0111","0111","A0111","A0111","",""," ",""
"0112","0112","A0112","A0112","",""," ",""
"0113","0113","A0113","A0113","",""," ",""
"0114","0114","A0114","A0114","",""," ",""
"0115","0115","A0115","A0115","",""," ",""
"0116","0116","A0116","A0116","",""," ",""
"0119","0119","A0119","A0119","",""," ",""
"0121","0121","A0121","A0121","",""," ",""
"0122","0122","A0122","A0122","",""," ",""
"0123","0123","A0123","A0123","",""," ",""
"0124","0124","A0124","A0124","",""," ",""
"0125","0125","A0125","A0125","",""," ",""
"0126","0126","A0126","A0126","",""," ",""
"0127","0127","A0127","A0127","",""," ",""
"0128","0128","A0128","A0128","",""," ",""
"0129","0129","A0129","A0129","",""," ",""
"0130","0130","A0130","A0130","",""," ",""
"0141","0141","A0141","A0141","",""," ",""
"0142","0142","A0142","A0142","",""," ",""
"0143","0143","A0143","A0143","",""," ",""
"0144","0144","A0144","A0144","",""," ",""
"0145","0145","A0145","A0145","",""," ",""
"0146","0146","A0146","A0146","",""," ",""
"0147","0147","A0147","A0147","",""," ",""
"0149","0149","A0149","A0149","",""," ",""
"0150","0150","A0150","A0150","",""," ",""
"0161","0161","A0161","A0161","",""," ",""
"0162","0162","A0162","A0162","",""," ",""
"0163","0163","A0163","A0163","",""," ",""
"0164","0164","A0164","A0164","",""," ",""
"0170","0170","A0170","A0170","",""," ",""
"0210","0210","A0210","A0210","",""," ",""
"0220","0220","A0220","A0220","",""," ",""
"0230","0230","A0230","A0230","",""," ",""
"0240","0240","A0240","A0240","",""," ",""
"0311","0311","A0311","A0311","",""," ",""
"0312","0312","A0312","A0312","",""," ",""
"0321","0321","A0321","A0321","",""," ",""
"0322","0322","A0322","A0322","",""," ",""
"0510","0510","B0510","B0510","",""," ",""
"0520","0520","B0520","B0520","",""," ",""
"0610","0610","B0610","B0610","",""," ",""
"0620","0620","B0620","B0620","",""," ",""
"0710","0710","B0710","B0710","",""," ",""
"0721","0721","B0721","B0721","",""," ",""
"0729","0729","B0729","B0729","",""," ",""
"0811","0811","B0811","B0811","",""," ",""
"0812","0812","B0812","B0812","",""," ",""
"0891","0891","B0891","B0891","",""," ",""
"0892","0892","B0892","B0892","",""," ",""
"0893","0893","B0893","B0893","",""," ",""
"0899","0899","B0899","B0899","",""," ",""
"0910","0910","B0910","B0910","",""," ",""
"0990","0990","B0990","B0990","",""," ",""
"1011","1011","C1011","C1011","",""," ",""
"1012","1012","C1012","C1012","",""," ",""
"1013","1013","C1013","C1013","",""," ",""
"1021","1020","C1021","C1020","",""," ",""
"1022","1020","C1022","C1020","",""," ",""
"1031","1031","C1031","C1031","",""," ",""
"1032","1032","C1032","C1032","",""," ",""
"1039","1039","C1039","C1039","",""," ",""
"1042","1042","C1042","C1042","",""," ",""
"1043","1041","C1043","C1041","",""," ",""
"1044","1041","C1044","C1041","",""," ",""
"1052","1052","C1052","C1052","",""," ",""
"1053","1051","C1053","C1051","",""," ",""
"1054","1051","C1054","C1051","",""," ",""
"1061","1061","C1061","C1061","",""," ",""
"1062","1062","C1062","C1062","",""," ",""
"1071","1071","C1071","C1071","",""," ",""
"1072","1072","C1072","C1072","",""," ",""
"1073","1073","C1073","C1073","",""," ",""
"1081","1081","C1081","C1081","",""," ",""
"1082","1082","C1082","C1082","",""," ",""
"1083","1083","C1083","C1083","",""," ",""
"1084","1084","C1084","C1084","",""," ",""
"1085","1085","C1085","C1085","",""," ",""
"1086","1086","C1086","C1086","",""," ",""
"1089","1089","C1089","C1089","",""," ",""
"1091","1091","C1091","C1091","",""," ",""
"1092","1092","C1092","C1092","",""," ",""
"1101","1101","C1101","C1101","",""," ",""
"1102","1102","C1102","C1102","",""," ",""
"1103","1103","C1103","C1103","",""," ",""
"1104","1104","C1104","C1104","",""," ",""
"1105","1105","C1105","C1105","",""," ",""
"1106","1106","C1106","C1106","",""," ",""
"1107","1107","C1107","C1107","",""," ",""
"1200","1200","C1200","C1200","",""," ",""
"1310","1310","C1310","C1310","",""," ",""
"1320","1320","C1320","C1320","",""," ",""
"1330","1330","C1330","C1330","",""," ",""
"1391","1391","C1391","C1391","",""," ",""
"1392","1392","C1392","C1392","",""," ",""
"1393","1393","C1393","C1393","",""," ",""
"1394","1394","C1394","C1394","",""," ",""
"1395","1395","C1395","C1395","",""," ",""
"1396","1396","C1396","C1396","",""," ",""
"1399","1399","C1399","C1399","",""," ",""
"1411","1411","C1411","C1411","",""," ",""
"1412","1412","C1412","C1412","",""," ",""
"1413","1413","C1413","C1413","",""," ",""
"1414","1414","C1414","C1414","",""," ",""
"1419","1419","C1419","C1419","",""," ",""
"1420","1420","C1420","C1420","",""," ",""
"1431","1431","C1431","C1431","",""," ",""
"1439","1439","C1439","C1439","",""," ",""
"1511","1511","C1511","C1511","",""," ",""
"1512","1512","C1512","C1512","",""," ",""
"1520","1520","C1520","C1520","",""," ",""
"1610","1610","C1610","C1610","",""," ",""
"1621","1621","C1621","C1621","",""," ",""
"1622","1622","C1622","C1622","",""," ",""
"1623","1623","C1623","C1623","",""," ",""
"1624","1624","C1624","C1624","",""," ",""
"1629","1629","C1629","C1629","",""," ",""
"1711","1711","C1711","C1711","",""," ",""
"1712","1712","C1712","C1712","",""," ",""
"1721","1721","C1721","C1721","",""," ",""
"1722","1722","C1722","C1722","",""," ",""
"1723","1723","C1723","C1723","",""," ",""
"1724","1724","C1724","C1724","",""," ",""
"1729","1729","C1729","C1729","",""," ",""
"1811","1811","C1811","C1811","",""," ",""
"1812","1812","C1812","C1812","",""," ",""
"1813","1813","C1813","C1813","",""," ",""
"1814","1814","C1814","C1814","",""," ",""
"1820","1820","C1820","C1820","",""," ",""
"1910","1910","C1910","C1910","",""," ",""
"1920","1920","C1920","C1920","",""," ",""
"2011","2011","C2011","C2011","",""," ",""
"2012","2012","C2012","C2012","",""," ",""
"2013","2013","C2013","C2013","",""," ",""
"2014","2014","C2014","C2014","",""," ",""
"2015","2015","C2015","C2015","",""," ",""
"2016","2016","C2016","C2016","",""," ",""
"2017","2017","C2017","C2017","",""," ",""
"2020","2020","C2020","C2020","",""," ",""
"2030","2030","C2030","C2030","",""," ",""
"2041","2041","C2041","C2041","",""," ",""
"2042","2042","C2042","C2042","",""," ",""
"2051","2051","C2051","C2051","",""," ",""
"2052","2052","C2052","C2052","",""," ",""
"2053","2053","C2053","C2053","",""," ",""
"2059","2059","C2059","C2059","",""," ",""
"2060","2060","C2060","C2060","",""," ",""
"2110","2110","C2110","C2110","",""," ",""
"2120","2120","C2120","C2120","",""," ",""
"2211","2211","C2211","C2211","",""," ",""
"2219","2219","C2219","C2219","",""," ",""
"2221","2221","C2221","C2221","",""," ",""
"2222","2222","C2222","C2222","",""," ",""
"2223","2223","C2223","C2223","",""," ",""
"2229","2229","C2229","C2229","",""," ",""
"2311","2311","C2311","C2311","",""," ",""
"2312","2312","C2312","C2312","",""," ",""
"2313","2313","C2313","C2313","",""," ",""
"2314","2314","C2314","C2314","",""," ",""
"2319","2319","C2319","C2319","",""," ",""
"2320","2320","C2320","C2320","",""," ",""
"2331","2331","C2331","C2331","",""," ",""
"2332","2332","C2332","C2332","",""," ",""
"2341","2341","C2341","C2341","",""," ",""
"2342","2342","C2342","C2342","",""," ",""
"2343","2343","C2343","C2343","",""," ",""
"2344","2344","C2344","C2344","",""," ",""
"2349","2349","C2349","C2349","",""," ",""
"2351","2351","C2351","C2351","",""," ",""
"2352","2352","C2352","C2352","",""," ",""
"2361","2361","C2361","C2361","",""," ",""
"2362","2362","C2362","C2362","",""," ",""
"2363","2363","C2363","C2363","",""," ",""
"2364","2364","C2364","C2364","",""," ",""
"2365","2365","C2365","C2365","",""," ",""
"2369","2369","C2369","C2369","",""," ",""
"2370","2370","C2370","C2370","",""," ",""
"2391","2391","C2391","C2391","",""," ",""
"2399","2399","C2399","C2399","",""," ",""
"2410","2410","C2410","C2410","",""," ",""
"2420","2420","C2420","C2420","",""," ",""
"2431","2431","C2431","C2431","",""," ",""
"2432","2432","C2432","C2432","",""," ",""
"2433","2433","C2433","C2433","",""," ",""
"2434","2434","C2434","C2434","",""," ",""
"2441","2441","C2441","C2441","",""," ",""
"2442","2442","C2442","C2442","",""," ",""
"2443","2443","C2443","C2443","",""," ",""
"2444","2444","C2444","C2444","",""," ",""
"2445","2445","C2445","C2445","",""," ",""
"2446","2446","C2446","C2446","",""," ",""
"2451","2451","C2451","C2451","",""," ",""
"2452","2452","C2452","C2452","",""," ",""
"2453","2453","C2453","C2453","",""," ",""
"2454","2454","C2454","C2454","",""," ",""
"2511","2511","C2511","C2511","",""," ",""
"2512","2512","C2512","C2512","",""," ",""
"2521","2521","C2521","C2521","",""," ",""
"2529","2529","C2529","C2529","",""," ",""
"2530","2530","C2530","C2530","",""," ",""
"2540","2540","C2540","C2540","",""," ",""
"2550","2550","C2550","C2550","",""," ",""
"2561","2561","C2561","C2561","",""," ",""
"2562","2562","C2562","C2562","",""," ",""
"2571","2571","C2571","C2571","",""," ",""
"2572","2572","C2572","C2572","",""," ",""
"2573","2573","C2573","C2573","",""," ",""
"2591","2591","C2591","C2591","",""," ",""
"2592","2592","C2592","C2592","",""," ",""
"2593","2593","C2593","C2593","",""," ",""
"2594","2594","C2594","C2594","",""," ",""
"2599","2599","C2599","C2599","",""," ",""
"2611","2611","C2611","C2611","",""," ",""
"2612","2612","C2612","C2612","",""," ",""
"2620","2620","C2620","C2620","",""," ",""
"2630","2630","C2630","C2630","",""," ",""
"2640","2640","C2640","C2640","",""," ",""
"2651","2651","C2651","C2651","",""," ",""
"2652","2652","C2652","C2652","",""," ",""
"2660","2660","C2660","C2660","",""," ",""
"2670","2670","C2670","C2670","",""," ",""
"2680","2680","C2680","C2680","",""," ",""
"2711","2711","C2711","C2711","",""," ",""
"2712","2712","C2712","C2712","",""," ",""
"2720","2720","C2720","C2720","",""," ",""
"2731","2731","C2731","C2731","",""," ",""
"2732","2732","C2732","C2732","",""," ",""
"2733","2733","C2733","C2733","",""," ",""
"2740","2740","C2740","C2740","",""," ",""
"2751","2751","C2751","C2751","",""," ",""
"2752","2752","C2752","C2752","",""," ",""
"2790","2790","C2790","C2790","",""," ",""
"2811","2811","C2811","C2811","",""," ",""
"2812","2812","C2812","C2812","",""," ",""
"2813","2813","C2813","C2813","",""," ",""
"2814","2814","C2814","C2814","",""," ",""
"2815","2815","C2815","C2815","",""," ",""
"2821","2821","C2821","C2821","",""," ",""
"2822","2822","C2822","C2822","",""," ",""
"2823","2823","C2823","C2823","",""," ",""
"2824","2824","C2824","C2824","",""," ",""
"2825","2825","C2825","C2825","",""," ",""
"2829","2829","C2829","C2829","",""," ",""
"2830","2830","C2830","C2830","",""," ",""
"2841","2841","C2841","C2841","",""," ",""
"2849","2849","C2849","C2849","",""," ",""
"2891","2891","C2891","C2891","",""," ",""
"2892","2892","C2892","C2892","",""," ",""
"2893","2893","C2893","C2893","",""," ",""
"2894","2894","C2894","C2894","",""," ",""
"2895","2895","C2895","C2895","",""," ",""
"2896","2896","C2896","C2896","",""," ",""
"2899","2899","C2899","C2899","",""," ",""
"2910","2910","C2910","C2910","",""," ",""
"2920","2920","C2920","C2920","",""," ",""
"2931","2931","C2931","C2931","",""," ",""
"2932","2932","C2932","C2932","",""," ",""
"3011","3011","C3011","C3011","",""," ",""
"3012","3012","C3012","C3012","",""," ",""
"3020","3020","C3020","C3020","",""," ",""
"3030","3030","C3030","C3030","",""," ",""
"3040","3040","C3040","C3040","",""," ",""
"3091","3091","C3091","C3091","",""," ",""
"3092","3092","C3092","C3092","",""," ",""
"3099","3099","C3099","C3099","",""," ",""
"3101","3101","C3101","C3101","",""," ",""
"3102","3102","C3102","C3102","",""," ",""
"3103","3103","C3103","C3103","",""," ",""
"3109","3109","C3109","C3109","",""," ",""
