"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE","FECHA_NOTA"
"0916","0916","Farmacia","",3,"091","Farmacia es el estudio de las drogas y sus efectos sobre los humanos. Incluye su preparación, dosificación y administración.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Farmacia","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- El estudio de la farmacología (véase 0512)","","SI","","AYUDACOD_CNEDF14",""
"0917","0917","Terapias naturales relacionadas con la salud y el bienestar","",3,"091","Terapias naturales relacionadas con la salud y el bienestar  es el estudio de las medicinas alternativas. 

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Acupuntura y medicina oriental
- 	Homeopatía
- 	Medicina ayurveda","","","SI","","AYUDACOD_CNEDF14",""
"0919","0919","Salud; sectores no clasificados en otra parte","",3,"091","Se clasifican aquí lo programas y certificaciones de salud cuyo sector detallado predominante no está clasificado en otra parte.","","","SI","","AYUDACOD_CNEDF14",""
"092","092","Servicios sociales","",2,"09","","","","","","AYUDACOD_CNEDF14",""
"0920","0920","Servicios sociales, sin sector detallado indicado","",3,"092","","","","","","AYUDACOD_CNEDF14",""
"0921","0921","Atención de personas mayores y adultos discapacitados","",3,"092","Atención de personas mayores y adultos discapacitados es el estudio de la atención y cuidados no sanitarios a personas mayores o discapacitadas.
 
Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Cuidado (no sanitario) de adultos
- 	Cuidados (no sanitarios) de discapacitados adultos
- 	Cuidados (no sanitarios) de personas mayores","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios de cuidados de salud para mayores o discapacitados (véase 0913)","","SI","","AYUDACOD_CNEDF14",""
"0922","0922","Atención de niños y servicios para jóvenes","",3,"092","Atención de niños y servicios para jóvenes es el estudio del desarrollo y cuidado no sanitarios de niños y jóvenes. Incluye el estudio actividades de ocio y recreo como servicio social para escuelas infantiles y adultos jóvenes.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Cuidados infantiles, programas recreativos
- 	Servicios para jóvenes","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios de profesores y educadores de educación infantil (véase 0112)
- 	Los estudios de cuidados de salud para niños (véase 0913)","","SI","","AYUDACOD_CNEDF14",""
"0923","0923","Trabajo social y orientación","",3,"092","Trabajo social y orientación es el estudio de las necesidades de bienestar social de las comunidades, tanto grupos específicos como individuos, y de las formas apropiadas de satisfacer esas necesidades.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Asistencia en el abuso del alcohol, las drogas, el tabaco
- 	Apoyo en situaciones de crisis, rechazo social, maltratos
- 	Asesoramiento familiar y matrimonial
- 	Trabajo social (asistencia social)
- 	Orientación profesional","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios de sociología y ciencias sociales (véase 0314)
- 	Los programas que combinan cuidados de salud con cuidados sociales, por ejemplo, para ancianos (véase 0913)","","SI","","AYUDACOD_CNEDF14",""
"098","098","Salud y servicios sociales, sin sector detallado predominante","",2,"09","","","","","","AYUDACOD_CNEDF14",""
"0988","0988","Salud y servicios sociales, sin sector detallado predominante","",3,"098","Se clasifican aquí lo programas y certificaciones de salud y servicios sociales en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
