"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE","FECHA_NOTA"
"0213","0213","Bellas artes","",3,"021","Bellas artes es el estudio de las formas visuales de expresiones creativas, relacionadas con la teoría, historia, técnica, acabado y producción de bellas artes.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Grabados, miniaturas, pintura, escultura
- 	Teoría, filosofía e historia del arte","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	La formación en cerámica y barro (véase 0214)
- 	Estudios de arquitectura (véase 0731)
- 	La formación de profesores de Bellas Artes (véase 0114)","","SI","","AYUDACOD_CNEDF14",""
"0214","0214","Artesanía","",3,"021","Artesanía es el estudio de técnicas y habilidades asociadas a oficios artesanales como joyería, elaboración de vasijas, tejeduría, tallado de madera, ¿ 

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Artesanía del cristal y el vidrio, cerámica
- 	Artesanía, producción artesanal
- 	Joyería, orfebrería, platería
- 	Construcción artesana de instrumentos musicales, reparación y afinació
- 	Talla en piedra, en madera, artesanía decorativa en metal
- 	Floristería (decoración floral)","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de la producción industrial de vasijas, materiales tejidos, bordado, ... se excluye de este sector y se incluye en alguno de los grupos detallados bajo el sector 07.","","SI","","AYUDACOD_CNEDF14",""
"0215","0215","Música y artes del espectáculo","",3,"021","Música y artes del espectáculo es el estudio de los principios y técnicas asociadas con la actuación con música, voz, movimiento, mimo, caracterización, improvisación y artes escénicas.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Música, composición y dirección
- 	Ballet y danza
- Coreografía
- 	Teatro, drama, actuación y dirección, circo
- 	Historia y teoría de los estudios de teatro, cine, música y danza","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	La formación a profesores de teatro, música y danza (véase 0114","","SI","","AYUDACOD_CNEDF14",""
"022","022","Humanidades","",2,"02","","","","","","AYUDACOD_CNEDF14",""
"0220","0220","Humanidades, sin sector detallado indicado","",3,"022","","","","","","AYUDACOD_CNEDF14",""
"0221","0221","Religión","",3,"022","La religión es el estudio de creencias religiosas, conceptos, símbolos, expresiones, texto y espiritualidad.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Historia y estudio de las diferentes religiones
- 	Teología
- 	Religión","","","SI","","AYUDACOD_CNEDF14",""
"0222","0222","Historia y arqueología","",3,"022","La historia es el estudio de sucesos pasados, especialmente el desarrollo político, social y económico de un país, un continente o todo el mundo. Arqueología es el estudio de las civilizaciones antiguas mediante análisis científicos de restos encontrados en el terreno. Este sector es propio de la  educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Arqueología
- 	Historia cultural, de la literatura, de la ciencia
- 	Restauración y conservación del patrimonio artístico","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de la literatura combinado con el de una lengua especifica (véase 0232)
- 	Historia del arte (véase 0213)
- 	Historia y teoría de los estudios de teatro, cine, música y danza (véase 0215)
- 	Historia de la economía (véase 0311)
- 	Museología (véase 0322)","","SI","","AYUDACOD_CNEDF14",""
"0223","0223","Filosofía y ética","",3,"022","Filosofía y ética es el estudio de la filosofía, ética y materias relacionadas con la concepción de la existencia. Este sector es propio de la  educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Ética y moral
- 	Filosofía, lógica","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de la religión (véase 0221) 
- 	La filosofía del arte (véase 0213)","","SI","","AYUDACOD_CNEDF14",""
"023","023","Lenguas","",2,"02","","","","","","AYUDACOD_CNEDF14",""
"0230","0230","Lenguas, sin sector detallado indicado","",3,"023","","","","","","AYUDACOD_CNEDF14",""
"0231","0231","Aprendizaje de segundas lenguas","",3,"023","Aprendizaje de segundas lenguas es el estudio de la estructura y composición de las lenguas, enfocado a la enseñanza de una lengua extranjera o de una segunda lengua (es decir: una lengua  no materna ni hablada con fluidez por el estudiante). Incluye el estudio de las correspondientes cultura, literatura,  lingüística y fonética cuando están relacionadas específicamente con la lengua que se está adquiriendo y forman parte del mismo programa o certificación. Se incluyen en este epígrafe las lenguas clásicas o ¿muertas¿, porque no existen  personas nativas en estas lenguas y porque tanto el modo de enseñanza como el contenido curricular son similares a los de la enseñanza de un idioma extranjero.   

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Lenguas extranjeras (estudiadas como segunda lengua)
- 	Lenguas y dialectos españoles: castellano, catalán, gallego, vasco, valenciano, balear, bable y otros dialectos (estudiados como segunda lengua)
- 	Lenguaje de signos
- 	Lenguas muertas
- 	Programas de traducción e interpretación","","","SI","","AYUDACOD_CNEDF14",""
"0232","0232","Literatura y lingüística","",3,"023","Literatura y lingüística es el estudio de lenguas orientado a personas que son nativas de esas lenguas, son fluentes en las mismas o tienen un dominio avanzado de ellas. Incluye fundamentalmente el estudio de la literatura y lingüística correspondiente, pudiendo incluir o no aspectos de la estructura y composición del idioma. 

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Literatura y lingüística en general
- 	Literatura y lingüística de las lenguas y dialectos españoles: castellano, catalán, gallego, vasco, valenciano, balear, bable y otros dialectos
- 	Literatura y lingüística de lenguas extranjeras (para estudiantes con dominio del idioma ) 
- 	Literatura comparada
- 	Escritura creativa
- 	Enseñanza o mejora de la escritura en una lengua propia o materna (por ejemplo el destinado adultos que fueron escolarizados en otra lengua), excepto programas de alfabetización.","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Enseñanza de la escritura a analfabetos, en una lengua propia o materna (véase 0021)","","SI","","AYUDACOD_CNEDF14",""
"028","028","Artes, humanidades y lenguas, sin sector detallado predominante","",2,"02","","","","","","AYUDACOD_CNEDF14",""
"0288","0288","Artes, humanidades y lenguas, sin sector detallado predominante","",3,"028","Se clasifican aquí lo programas y certificaciones de artes, humanidades y lenguas en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
"03","03","Ciencias sociales, periodismo y documentción","",1,"","","","","","","AYUDACOD_CNEDF14",""
"030","030","Ciencias sociales, periodismo y documentción, sin sector específico indicado","",2,"03","","","","","","AYUDACOD_CNEDF14",""
"0300","0300","Ciencias sociales, periodismo y documentación, sin sector específico indicado","",3,"030","","","","","","AYUDACOD_CNEDF14",""
"031","031","Ciencias sociales y del comportamiento","",2,"03","","","","","","AYUDACOD_CNEDF14",""
"0310","0310","Ciencias sociales y del comportamiento, sin sector detallado indicado","",3,"031","","","","","","AYUDACOD_CNEDF14",""
"0311","0311","Economía","",3,"031","Economía es el estudio de la política económica, teoría económica y toma de decisiones económicas. Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Historia de la economía, economía política
- 	Ciencias económicas
- 	Econometría","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios económicos en los que se hace énfasis en los negocios (véase 041)
- 	Economía doméstica (véase 1011)","","SI","","AYUDACOD_CNEDF14",""
"0312","0312","Ciencias políticas","",3,"031","Ciencias políticas es el estudio de los gobiernos y de los principios y prácticas políticas. Se incluyen temas relacionados con los derechos y deberes de los ciudadanos. Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Ciencias políticas, historia política
- 	Derechos humanos
- 	Relaciones internacionales","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de la economía política (véase 0311)","","SI","","AYUDACOD_CNEDF14",""
"0313","0313","Psicología","",3,"031","Psicología es el estudio de la mente humana, del comportamiento como resultado de las diferencias individuales, de la experiencia y del entorno. Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Psicología, psicoanálisis, psicoterapia","","","SI","","AYUDACOD_CNEDF14",""
"0314","0314","Sociología, antropología y geografía social y cultural","",3,"031","La sociología, antropología y geografía social y cultural es el estudio de los pueblos y de la forma en que se comportan los humanos en grupos y en sociedad. Este sector es propio de la  educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Sociología y antropología
- 	Estudios de población y demográficos
- 	Geografía social y cultural
- 	Etnología
- 	Criminología","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los programas de protección social en los que el énfasis se hace en trabajo social práctico (véase 0923)
- 	El estudio de la geografía física (véase 0532)","","SI","","AYUDACOD_CNEDF14",""
"032","032","Periodismo y documentación","",2,"03","","","","","","AYUDACOD_CNEDF14",""
"0320","0320","Periodismo y documentación, sin sector detallado indicado","",3,"032","","","","","","AYUDACOD_CNEDF14",""
"0321","0321","Periodismo","",3,"032","Periodismo es el estudio de la teoría y práctica del periodismo como parte del sector de los medios de comunicación de masas. Trata de la redacción y contenido de mensajes, la redacción de noticias, escritura de comentarios y artículos de interés general,¿

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Información y comunicación de masas (redacción y contenido)
- Periodismo, periodismo de radio y TV","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de las técnicas de comunicación de masas (por ejemplo: impresión y  producción de TV o radio) (véase 0211)
- 	El estudio del diseño de publicaciones y su composición (véase 0211)
- 	El estudio de las relaciones públicas (véase 0414)","","SI","","AYUDACOD_CNEDF14",""
"0322","0322","Biblioteconomía, documentación y archivos","",3,"032","Biblioteconomía, documentación y archivos es el estudio de los métodos de selección, adquisición, organización y almacenamiento de lotes de información, así como de facilitar el uso de la información. 

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Técnicas de archivo
- 	Documentación
- 	Museología y documentación de museos
- 	Programas de bibliotecas","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

Restauración y conservación del patrimonio artístico (véase 0222)","","SI","","AYUDACOD_CNEDF14",""
"038","038","Ciencias sociales, periodismo y documentación, sin sector detallado predominante","",2,"03","","","","","","AYUDACOD_CNEDF14",""
"0388","0388","Ciencias sociales, periodismo y documentación, sin sector detallado predominante","",3,"038","Se clasifican aquí lo programas y certificaciones de ciencias sociales, periodismo y documentación en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
"04","04","Negocios, administración y derecho","",1,"","","","","","","AYUDACOD_CNEDF14",""
"040","040","Negocios, administración y derecho, sin sector específico indicado","",2,"04","","","","","","AYUDACOD_CNEDF14",""
"0400","0400","Negocios, administración y derecho, sin sector específico indicado","",3,"040","","","","","","AYUDACOD_CNEDF14",""
"041","041","Negocios y administración","",2,"04","","","","","","AYUDACOD_CNEDF14",""
"0410","0410","Negocios y administración, sin sector detallado indicado","",3,"041","","","","","","AYUDACOD_CNEDF14",""
"0411","0411","Contabilidad y gestión de impuestos","",3,"041","Contabilidad y gestión de impuestos es el estudio del mantenimiento, auditoría y registro de transacciones financieras.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Contabilidad, auditoría, teneduría de libros
- 	Gestión de impuestos","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Derecho tributario (véase 0421)","","SI","","AYUDACOD_CNEDF14",""
"0412","0412","Finanzas, banca y seguros","",3,"041","Finanzas, banca y seguros es el estudio de la planificación, dirección, organización y control de actividades y servicios financieros. Incluye el control y seguimiento de los recursos financieros de las organizaciones, instituciones e individuos, y la provisión de servicios financieros corporativos e individuales.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Finanzas y banca, teoría de las finanzas
- 	Análisis de inversiones, agente de inversiones, fondos de pensiones
- 	Seguridad social, seguros","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de las ciencias actuariales (véase 0542)","","SI","","AYUDACOD_CNEDF14",""
"0413","0413","Administración y gestión","",3,"041","Administración y gestión de empresas es el estudio de la planificación y dirección de las funciones y actividades de organizaciones e instituciones. Se incluyen programas de gestión, así como programas de administración, economía, finanzas, ... siempre y cuando el énfasis recaiga en la gestión y administración.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Administración, gestión
- 	Gestión logística, gestión formativa, gestión del empleo, ciencias de la gestión
- 	Gestión y administración de personal
- 	Cursos de autoempleo","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios de administración, en el contexto del trabajo administrativo de oficina (véase 0415)
- Las enseñanzas de liderazgo en el contexto del desarrollo personal (véase 0031)","","SI","","AYUDACOD_CNEDF14",""
"0414","0414","Marketing y publicidad","",3,"041","Marketing y publicidad es el estudio del comportamiento del consumidor y sus necesidades. Incluye el estudio del desarrollo del producto, su precio, distribución, promoción y ventas, para maximizar el rendimiento del negocio.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Estudios de mercado
- 	Marketing y publicidad
- 	Relaciones públicas","","","SI","","AYUDACOD_CNEDF14",""
"0415","0415","Secretariado y trabajo administrativo","",3,"041","Secretariado y trabajo administrativo es el estudio de los procedimientos y prácticas administrativas, tecnologías de ofimática, taquigrafía y mecanografía. Programas de secretariado especializados (bilingüe, médico, derecho, contabilidad, ...) se incluyen si el programa está enfocado al trabajo de secretariado, más que al de asistente especializado.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Servicios de secretariado y administrativos generales
- 	Programas de secretariado en lenguas extranjeras
- 	Programas de secretariado  en leyes, en medicina... 
- 	Mecanografía, taquigrafía
- 	Operador/a centralita, formación de recepcionista","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los programas formativos para usar un software de ordenador específico (véase 0611)
- 	Los programas educativos para recepcionista de hotel (véase 1013)
- 	Secretariado legal, judicial y notarial (""paralegal studies"", véase 0421)","","SI","","AYUDACOD_CNEDF14",""
"0416","0416","Ventas al por mayor y al por menor","",3,"041","Ventas al por mayor y al por menor es el estudio de las compras y ventas de bienes y servicios, incluida la gestión de almacenes, políticas de precios, prevención de pérdidas, sistemas y procedimientos de ventas.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Compras y ventas al por mayor y al por menor
- 	Subastas
- 	Servicios al consumidor, ventas por teléfono
- 	Técnicas de demostración
- 	Gestión de existencias
- 	Compras y ventas de edificios y propiedades","","","SI","","AYUDACOD_CNEDF14",""
"0417","0417","Otros estudios de adaptación al puesto de trabajo","",3,"041","Otros estudios referidos al puesto de trabajo abarcan el estudio de la estructura y funcionamiento de la vida laboral. Incluye programas relacionados con el lugar de trabajo y con las tareas laborales asignadas.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Organización, conocimiento de una empresa, necesidades de los clientes
- 	Desarrollo del trabajo","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Las enseñanzas relacionadas más con el desarrollo personal que con el desarrollo del trabajo, (véase 0031)
- 	Los programas sobre el entorno y condiciones de trabajo (véase 1022)
- 	Los programas de educación superior, relativos a la vida laboral en general, en términos de mercado laboral, relaciones entre organizaciones, psicología industrial (véase 031)
- 	Los programas de enseñanza al personal docente referidos a técnicas y métodos de educación (véase 011)","","SI","","AYUDACOD_CNEDF14",""
"042","042","Derecho","",2,"04","","","","","","AYUDACOD_CNEDF14",""
"0421","0421","Derecho","",3,"042","Derecho es el estudio de los principios y procedimientos para el normal mantenimiento del orden social, incluyendo enseñanzas para profesiones en leyes como abogado o para la judicatura.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Historia del derecho, derecho mercantil, derecho penal, derecho laboral
- 	Jurisprudencia, prácticas en leyes 4 Ciencias 
- 	Secretariado legal, judicial y notarial (""paralegal studies"")","","","SI","","AYUDACOD_CNEDF14",""
"048","048","Negocios, administración y derecho, sin sector detallado predominante","",2,"04","","","","","","AYUDACOD_CNEDF14",""
"0488","0488","Negocios, administración y derecho, sin sector detallado predominante","",3,"048","Se clasifican aquí lo programas y certificaciones de negocios, administración y derecho en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
"05","05","Ciencias naturales, químicas, físicas y matemáticas","",1,"","","","","","","AYUDACOD_CNEDF14",""
"050","050","Ciencias naturales, químicas, físicas y matemáticas, sin sector específico indicado","",2,"05","","","","","","AYUDACOD_CNEDF14",""
"0500","0500","Ciencias naturales, químicas, físicas y matemáticas, sin sector específico indicado","",3,"050","","","","","","AYUDACOD_CNEDF14",""
"051","051","Biología y bioquímica","",2,"05","","","","","","AYUDACOD_CNEDF14",""
"0510","0510","Biología y bioquímica, sin sector detallado indicado","",3,"051","","","","","","AYUDACOD_CNEDF14",""
"0511","0511","Biología","",3,"051","Biología es el estudio de la estructura, función, reproducción, crecimiento, evolución y comportamiento de todos los organismos vivos. Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Biología, genética 
- 	Botánica, zoología","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de las ciencias ambientales, que es el estudio de la relación entre los organismos vivos y el medio ambiente (véase0521)
- 	El estudio de los procesos químicos en los organismos vivos (toxicología, farmacología,... ver 0512)","","SI","","AYUDACOD_CNEDF14",""
"0512","0512","Bioquímica","",3,"051","Bioquímica es el estudio de los procesos químicos en los organismos vivos y procesos relacionados. Este sector es propio de la  educación superior fundamentalmente.

- 	Bioquímica
- 	Toxicología, farmacología
- 	Estudio del código genético (DNA y RNA)
- 	Virología
- 	Tecnología celular
- 	Biotecnología","","","SI","","AYUDACOD_CNEDF14",""
"052","052","Medio ambiente, entornos naturales y vida silvestre","",2,"05","","","","","","AYUDACOD_CNEDF14",""
"0520","0520","Medio ambiente, entornos naturales y vida silvestre, sin sector detallado indicado","",3,"052","","","","","","AYUDACOD_CNEDF14",""
"0521","0521","Ciencias del medio ambiente","",3,"052","Ciencias del medio ambiente es el estudio de las relaciones de los organismos vivos entre sí y con el medio ambiente. Este sector es propio de la educación superior fundamentalmente.
Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Ecología
- 	Ciencias medioambientales","No comprende los programas educativos con los siguientes contenidos principales:

- 	El estudio de la biología y la toxicología (véase 051)","","SI","","AYUDACOD_CNEDF14",""
"0522","0522","Entornos naturales y vida silvestre","",3,"052","Entornos naturales y vida silvestre es el estudio de las relaciones entre organismos vivos en entornos naturales, con objeto de proteger la naturaleza y la vida salvaje.
Incluye el estudio del establecimiento y mantenimiento de parques nacionales para preservar su estado natural original.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Gestión de parques nacionales y vida salvaje
- 	Conservación de la naturaleza","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de la silvicultura y horticultura (véase 08)
- 	El estudio de la caza y la puesta de trampas (véase 0821)","","SI","","AYUDACOD_CNEDF14",""
"053","053","Ciencias químicas, físicas y geológicas","",2,"05","","","","","","AYUDACOD_CNEDF14",""
"0530","0530","Ciencias químicas, físicas y geológicas, sin sector detallado indicado","",3,"053","","","","","","AYUDACOD_CNEDF14",""
"0531","0531","Química","",3,"053","Química es el estudio de la composición y propiedades de la materia, sus transformaciones y combinaciones. Este sector es propio  de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Química","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Bioquímica (véase0512)","","SI","","AYUDACOD_CNEDF14",""
"0532","0532","Geología y meteorología","",3,"053","Geología y meteorología es el estudio de la composición, estructura y evolución de la tierra, incluidas la hidrosfera y la atmosfera. Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Geología y Meteorología
- 	Oceanografía, sismología
- 	Geografía física
- 	Sistemas de información geográfica (GIS)
- 	Tecnología geoespacial","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Cartografía y topografía (véase 0731)","","SI","","AYUDACOD_CNEDF14",""
"0533","0533","Física","",3,"053","Física es el estudio de las propiedades e interacciones de la materia y la energía.
 Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Física, óptica
- 	Astronomía, ciencias del espacio","","","SI","","AYUDACOD_CNEDF14",""
"054","054","Matemáticas y estadística","",2,"05","","","","","","AYUDACOD_CNEDF14",""
"0540","0540","Matemáticas y estadística, sin sector detallado indicado","",3,"054","","","","","","AYUDACOD_CNEDF14",""
"0541","0541","Matemáticas","",3,"054","Matemáticas es el estudio de los sistemas deductivos abstractos. Incluye el álgebra, aritmética, geometría, análisis real y complejo y matemáticas aplicadas. Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Matemáticas, álgebra, geometría, análisis numérico
- 	Matemáticas aplicadas","","","SI","","AYUDACOD_CNEDF14",""
"0542","0542","Estadística","",3,"054","Estadística es el estudio de recoger, describir, estructurar y analizar datos numéricos. Se incluye el estudio de la teoría de la probabilidad y las ciencias actuariales. Este sector es propio de la educación superior fundamentalmente.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Estadística, teoría de la probabilidad
- 	Estadística aplicada
- 	Ciencias actuariales","","","SI","","AYUDACOD_CNEDF14",""
"058","058","Ciencias naturales, químicas, físicas y matemáticas, sin sector detallado predominante","",2,"05","","","","","","AYUDACOD_CNEDF14",""
"0588","0588","Ciencias naturales, químicas, físicas y matemáticas, sin sector detallado predominante","",3,"058","Se clasifican aquí lo programas y certificaciones de ciencias naturales, químicas, físicas y matemáticas en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
"06","06","Tecnologías de la información y las comunicaciones (TIC)","",1,"","","","","","","AYUDACOD_CNEDF14",""
"061","061","Tecnologías de la información y las comunicaciones (TIC)","",2,"06","","","","","","AYUDACOD_CNEDF14",""
