"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"016","0016","Stimulant, spice and aromatic crops",3,"","01","","","","","",
"0161","00161","Coffee, green",4,"","016","","","","","",
"01610","001610","Coffee, green",5,"","0161","","","","","",
"0162","00162","Tea leaves",4,"","016","","","","","",
"01620","001620","Tea leaves",5,"","0162","","","","","",
"0163","00163","Mat¿® leaves",4,"","016","","","","","",
"01630","001630","Mat¿® leaves",5,"","0163","","","","","",
"0164","00164","Cocoa beans",4,"","016","","","","","",
"01640","001640","Cocoa beans",5,"","0164","","","","","",
"0165","00165","Spice and aromatic crops, raw",4,"","016","","","","","",
"01651","001651","Pepper (""Piper"" spp.), raw",5,"","0165","","","","","",
"01652","001652","Chillies and peppers, dry (""Capsicum"" spp., ""Pimenta"" spp.), raw",5,"","0165","","","","","",
"01653","001653","Nutmeg, mace, cardamoms, raw",5,"","0165","","","","","",
"01654","001654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5,"","0165","","","","","",
"01655","001655","Cinnamon and cinnamon-tree flowers, raw",5,"","0165","","","","","",
"01656","001656","Cloves (whole stems), raw",5,"","0165","","","","","",
"01657","001657","Ginger, raw",5,"","0165","","","","","",
"01658","001658","Vanilla, raw",5,"","0165","","","","","",
"01659","001659","Hop cones",5,"","0165","","","","","",
"0169","00169","Stimulant, spice and aromatic crops, n.e.c.",4,"","016","","","","","",
"01691","001691","Chicory roots",5,"","0169","","","","","",
"01699","001699","Other stimulant, spice and aromatic crops, n.e.c.",5,"","0169","","","","","",
"017","0017","Pulses (dried leguminous vegetables)",3,"","01","","","","","",
"0170","00170","Pulses (dried leguminous vegetables)",4,"","017","","","","","",
"01701","001701","Beans, dry",5,"","0170","","","","","",
"01702","001702","Broad beans and horse beans, dry",5,"","0170","","","","","",
"01703","001703","Chick peas, dry",5,"","0170","","","","","",
"01704","001704","Lentils, dry",5,"","0170","","","","","",
"01705","001705","Peas, dry",5,"","0170","","","","","",
"01706","001706","Cow peas, dry",5,"","0170","","","","","",
"01707","001707","Pigeon peas, dry",5,"","0170","","","","","",
"01708","001708","Bambara beans, dry",5,"","0170","","","","","",
"01709","001709","Pulses, n.e.c.",5,"","0170","","","","","",
"018","0018","Sugar crops",3,"","01","","","","","",
"0180","00180","Sugar crops",4,"","018","","","","","",
"01801","001801","Sugar beet",5,"","0180","","","","","",
"01802","001802","Sugar cane",5,"","0180","","","","","",
"01803","001803","Sugar beet seeds",5,"","0180","","","","","",
"01809","001809","Other sugar crops n.e.c.",5,"","0180","","","","","",
"019","0019","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials",3,"","01","","","","","",
"0191","00191","Forage products",4,"","019","","","","","",
"01911","001911","Maize for forage and silage",5,"","0191","","","","","",
"01912","001912","Alfalfa for forage and silage",5,"","0191","","","","","",
"01913","001913","Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",5,"","0191","","","","","",
"01919","001919","Forage products, n.e.c.",5,"","0191","","","","","",
"0192","00192","Fibre crops",4,"","019","","","","","",
"01921","001921","Cotton, whether or not ginned",5,"","0192","","","","","",
"01922","001922","Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie",5,"","0192","","","","","",
"01929","001929","Other fibre crops, raw, n.e.c.",5,"","0192","","","","","",
"0193","00193","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",4,"","019","","","","","",
"01930","001930","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",5,"","0193","","","","","",
"0194","00194","Beet seeds (excluding sugar beet seeds) and seeds of forage plants",4,"","019","","","","","",
"01940","001940","Beet seeds (excluding sugar beet seeds) and seeds of forage plants",5,"","0194","","","","","",
"0195","00195","Natural rubber in primary forms or in plates, sheets or strip",4,"","019","","","","","",
"01950","001950","Natural rubber in primary forms or in plates, sheets or strip",5,"","0195","","","","","",
"0196","00196","Living plants; cut flowers and flower buds; flower seeds",4,"","019","","","","","",
"01961","001961","Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn",5,"","0196","","","","","",
"01962","001962","Cut flowers and flower buds including bouquets, wreaths, floral baskets and similar articles",5,"","0196","","","","","",
"01963","001963","Flower seeds",5,"","0196","","","","","",
"0197","00197","Unmanufactured tobacco",4,"","019","","","","","",
"01970","001970","Unmanufactured tobacco",5,"","0197","","","","","",
"0199","00199","Other raw vegetable materials, n.e.c.",4,"","019","","","","","",
"01990","001990","Other raw vegetable materials, n.e.c.",5,"","0199","","","","","",
"02","002","Live animals and animal products (excluding meat)",2,"","0","","","","","",
"021","0021","Live animals",3,"","02","","","","","",
"0211","00211","Bovine animals, live",4,"","021","","","","","",
"02111","002111","Cattle",5,"","0211","","","","","",
"02112","002112","Buffalo",5,"","0211","","","","","",
"02119","002119","Other bovine animals",5,"","0211","","","","","",
"0212","00212","Other ruminants",4,"","021","","","","","",
