"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA","NOMBRE"
"2164","2164","Urbanistas e ingenieros de tránsito","4","","216","","","","","",,"AYUDACOD_ISCO08"
"2165","2165","Cartógrafos y agrimensores","4","","216","","","","","",,"AYUDACOD_ISCO08"
"2166","2166","Diseñadores gráficos y multimedia","4","","216","","","","","",,"AYUDACOD_ISCO08"
"22","22","Profesionales de la salud","2","","2","","","","","",,"AYUDACOD_ISCO08"
"221","221","Médicos","3","","22","","","","","",,"AYUDACOD_ISCO08"
"2211","2211","Médicos generales","4","","221","","","","","",,"AYUDACOD_ISCO08"
"2212","2212","Médicos especialistas ","4","","221","","","","","",,"AYUDACOD_ISCO08"
"222","222","Profesionales de enfermería y partería","3","","22","","","","","",,"AYUDACOD_ISCO08"
"2221","2221","Profesionales de enfermería","4","","222","","","","","",,"AYUDACOD_ISCO08"
"2222","2222","Profesionales de partería","4","","222","","","","","",,"AYUDACOD_ISCO08"
"223","223","Profesionales de medicina tradicional y alternativa","3","","22","","","","","",,"AYUDACOD_ISCO08"
"2230","2230","Profesionales de medicina tradicional y alternativa","4","","223","","","","","",,"AYUDACOD_ISCO08"
"224","224","Practicantes paramédicos","3","","22","","","","","",,"AYUDACOD_ISCO08"
"2240","2240","Practicantes paramédicos","4","","224","","","","","",,"AYUDACOD_ISCO08"
"225","225","Veterinarios","3","","22","","","","","",,"AYUDACOD_ISCO08"
"2250","2250","Veterinarios","4","","225","","","","","",,"AYUDACOD_ISCO08"
"226","226","Otros profesionales de la salud","3","","22","","","","","",,"AYUDACOD_ISCO08"
"2261","2261","Dentistas","4","","226","","","","","",,"AYUDACOD_ISCO08"
"2262","2262","Farmacéuticos","4","","226","","","","","",,"AYUDACOD_ISCO08"
"2263","2263","Profesionales de la salud y la higiene laboral y ambiental","4","","226","","","","","",,"AYUDACOD_ISCO08"
"2264","2264","Fisioterapeutas ","4","","226","","","","","",,"AYUDACOD_ISCO08"
"2265","2265","Dietistas y nutricionistas","4","","226","","","","","",,"AYUDACOD_ISCO08"
"2266","2266","Audiólogos y logopedas","4","","226","","","","","",,"AYUDACOD_ISCO08"
"2267","2267","Optometristas","4","","226","","","","","",,"AYUDACOD_ISCO08"
"2269","2269","Profesionales de la salud no clasificados bajo otros epígrafes","4","","226","","","","","",,"AYUDACOD_ISCO08"
"23","23","Profesionales de la enseñanza","2","","2","","","","","",,"AYUDACOD_ISCO08"
"231","231","Profesores de universidades y de la enseñanza superior","3","","23","","","","","",,"AYUDACOD_ISCO08"
"2310","2310","Profesores de universidades y de la enseñanza superior","4","","231","","","","","",,"AYUDACOD_ISCO08"
"232","232","Profesores de formación profesional","3","","23","","","","","",,"AYUDACOD_ISCO08"
"2320","2320","Profesores de formación profesional","4","","232","","","","","",,"AYUDACOD_ISCO08"
"233","233","Profesores de enseñanza secundaria","3","","23","","","","","",,"AYUDACOD_ISCO08"
"2330","2330","Profesores de enseñanza secundaria","4","","233","","","","","",,"AYUDACOD_ISCO08"
"234","234","Maestros de enseñanza primaria y maestros preescolares","3","","23","","","","","",,"AYUDACOD_ISCO08"
"2341","2341","Maestros de enseñanza primaria","4","","234","","","","","",,"AYUDACOD_ISCO08"
"2342","2342","Maestros preescolares","4","","234","","","","","",,"AYUDACOD_ISCO08"
"235","235","Otros profesionales de la enseñanza","3","","23","","","","","",,"AYUDACOD_ISCO08"
"2351","2351","Especialistas en métodos pedagógicos","4","","235","","","","","",,"AYUDACOD_ISCO08"
"2352","2352","Educadores para necesidades especiales","4","","235","","","","","",,"AYUDACOD_ISCO08"
"2353","2353","Otros profesores de idiomas","4","","235","","","","","",,"AYUDACOD_ISCO08"
"2354","2354","Otros profesores de música","4","","235","","","","","",,"AYUDACOD_ISCO08"
"2355","2355","Otros profesores de artes","4","","235","","","","","",,"AYUDACOD_ISCO08"
"2356","2356","Instructores en tecnología de la información","4","","235","","","","","",,"AYUDACOD_ISCO08"
"2359","2359","Profesionales de la enseñanza no clasificados bajo otros epígrafes","4","","235","","","","","",,"AYUDACOD_ISCO08"
"24","24","Especialistas en organización de la administración publica y de empresas","2","","2","","","","","",,"AYUDACOD_ISCO08"
"241","241","Especialistas en finanzas","3","","24","","","","","",,"AYUDACOD_ISCO08"
"2411","2411","Contables","4","","241","","","","","",,"AYUDACOD_ISCO08"
"2412","2412","Asesores financieros y en inversiones","4","","241","","","","","",,"AYUDACOD_ISCO08"
"2413","2413","Analistas financieros","4","","241","","","","","",,"AYUDACOD_ISCO08"
"242","242","Especialistas en organización de administración","3","","24","","","","","",,"AYUDACOD_ISCO08"
"2421","2421","Analistas de gestión y organización","4","","242","","","","","",,"AYUDACOD_ISCO08"
"2422","2422","Especialistas en políticas de administración","4","","242","","","","","",,"AYUDACOD_ISCO08"
"2423","2423","Especialistas en políticas y servicios de personal y afines","4","","242","","","","","",,"AYUDACOD_ISCO08"
"2424","2424","Especialistas en formación del personal","4","","242","","","","","",,"AYUDACOD_ISCO08"
"243","243","Profesionales de las ventas, la comercialización y las relaciones públicas","3","","24","","","","","",,"AYUDACOD_ISCO08"
"2431","2431","Profesionales de la publicidad y la comercialización","4","","243","","","","","",,"AYUDACOD_ISCO08"
"2432","2432","Profesionales de relaciones públicas","4","","243","","","","","",,"AYUDACOD_ISCO08"
"2433","2433","Profesionales de ventas técnicas y médicas (excluyendo la TIC)","4","","243","","","","","",,"AYUDACOD_ISCO08"
"2434","2434","Profesionales de ventas de tecnología de la información y las comunicaciones","4","","243","","","","","",,"AYUDACOD_ISCO08"
"25","25","Profesionales de tecnología de la información y las comunicaciones","2","","2","","","","","",,"AYUDACOD_ISCO08"
"251","251","Desarrolladores y analistas de software y multimedia","3","","25","","","","","",,"AYUDACOD_ISCO08"
"2511","2511","Analistas de sistemas","4","","251","","","","","",,"AYUDACOD_ISCO08"
"2512","2512","Desarrolladores de software","4","","251","","","","","",,"AYUDACOD_ISCO08"
"2513","2513","Desarrolladores Web y multimedia","4","","251","","","","","",,"AYUDACOD_ISCO08"
"2514","2514","Programadores de aplicaciones","4","","251","","","","","",,"AYUDACOD_ISCO08"
"2519","2519","Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes","4","","251","","","","","",,"AYUDACOD_ISCO08"
"252","252","Especialistas en bases de datos y en redes de computadores","3","","25","","","","","",,"AYUDACOD_ISCO08"
"2521","2521","Diseñadores y administradores de bases de datos","4","","252","","","","","",,"AYUDACOD_ISCO08"
"2522","2522","Administradores de sistemas","4","","252","","","","","",,"AYUDACOD_ISCO08"
"2523","2523","Profesionales en redes de computadores","4","","252","","","","","",,"AYUDACOD_ISCO08"
"2529","2529","Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes","4","","252","","","","","",,"AYUDACOD_ISCO08"
"26","26","Profesionales en derecho, en ciencias sociales y culturales","2","","2","","","","","",,"AYUDACOD_ISCO08"
"261","261","Profesionales en derecho","3","","26","","","","","",,"AYUDACOD_ISCO08"
"2611","2611","Abogados","4","","261","","","","","",,"AYUDACOD_ISCO08"
"2612","2612","Jueces","4","","261","","","","","",,"AYUDACOD_ISCO08"
"2619","2619","Profesionales en derecho no clasificados bajo otros epígrafes","4","","261","","","","","",,"AYUDACOD_ISCO08"
"262","262","Archivistas, bibliotecarios, curadores y afines","3","","26","","","","","",,"AYUDACOD_ISCO08"
"2621","2621","Archivistas y curadores de museos","4","","262","","","","","",,"AYUDACOD_ISCO08"
"2622","2622","Bibliotecarios, documentalistas y afines","4","","262","","","","","",,"AYUDACOD_ISCO08"
"263","263","Especialistas en ciencias sociales y teología","3","","26","","","","","",,"AYUDACOD_ISCO08"
"2631","2631","Economistas","4","","263","","","","","",,"AYUDACOD_ISCO08"
"2632","2632","Sociólogos, antropólogos y afines","4","","263","","","","","",,"AYUDACOD_ISCO08"
"2633","2633","Filósofos, historiadores y especialistas en ciencias políticas","4","","263","","","","","",,"AYUDACOD_ISCO08"
"2634","2634","Psicólogos","4","","263","","","","","",,"AYUDACOD_ISCO08"
"2635","2635","Profesionales del trabajo social","4","","263","","","","","",,"AYUDACOD_ISCO08"
"2636","2636","Profesionales religiosos","4","","263","","","","","",,"AYUDACOD_ISCO08"
"264","264","Autores, periodistas y lingüistas","3","","26","","","","","",,"AYUDACOD_ISCO08"
"2641","2641","Autores y otros escritores","4","","264","","","","","",,"AYUDACOD_ISCO08"
"2642","2642","Periodistas","4","","264","","","","","",,"AYUDACOD_ISCO08"
"2643","2643","Traductores, intérpretes y lingüistas","4","","264","","","","","",,"AYUDACOD_ISCO08"
"265","265","Artistas creativos e interpretativos","3","","26","","","","","",,"AYUDACOD_ISCO08"
"2651","2651","Artistas de artes plásticas","4","","265","","","","","",,"AYUDACOD_ISCO08"
