"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA","NOMBRE"
"7113","7113","Tronzadores, labrantes y grabadores de piedra","4","","711","","","","","","","AYUDACOD_ISCO88"
"712","712","Oficiales y operarios de la construcción (obra gruesa) y afines","3","","71","","","","","","","AYUDACOD_ISCO88"
"7121","7121","Constructores con técnicas y materiales tradicionales","4","","712","","","","","","","AYUDACOD_ISCO88"
"7122","7122","Albañiles y mamposteros","4","","712","","","","","","","AYUDACOD_ISCO88"
"7123","7123","Operarios en cemento armado, enfoscadores y afines","4","","712","","","","","","","AYUDACOD_ISCO88"
"7124","7124","Carpinteros de armar y de blanco","4","","712","","","","","","","AYUDACOD_ISCO88"
"7129","7129","Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes","4","","712","","","","","","","AYUDACOD_ISCO88"
"713","713","Oficiales y operarios de la construcción (trabajos de acabado) y afines","3","","71","","","","","","","AYUDACOD_ISCO88"
"7131","7131","Techadores","4","","713","","","","","","","AYUDACOD_ISCO88"
"7132","7132","Parqueteros y colocadores de suelos","4","","713","","","","","","","AYUDACOD_ISCO88"
"7133","7133","Revocadores","4","","713","","","","","","","AYUDACOD_ISCO88"
"7134","7134","Instaladores de material aislante y de insonorización","4","","713","","","","","","","AYUDACOD_ISCO88"
"7135","7135","Cristaleros","4","","713","","","","","","","AYUDACOD_ISCO88"
"7136","7136","Fontaneros e instaladores de tuberías","4","","713","","","","","","","AYUDACOD_ISCO88"
"7137","7137","Electricistas de obras y afines","4","","713","","","","","","","AYUDACOD_ISCO88"
"714","714","Pintores, limpiadores de fachadas y afines","3","","71","","","","","","","AYUDACOD_ISCO88"
"7141","7141","Pintores y empapeladores","4","","714","","","","","","","AYUDACOD_ISCO88"
"7142","7142","Barnizadores y afines","4","","714","","","","","","","AYUDACOD_ISCO88"
"7143","7143","Limpiadores de fachadas y deshollinadores","4","","714","","","","","","","AYUDACOD_ISCO88"
"72","72","Oficiales y operarios de la metalurgia, la construcción mecánicas y afines","2","","7","","","","","","","AYUDACOD_ISCO88"
"721","721","Moldeadores, soldadores, chapistas, caldereros, montadores de estructuras metálicas y afines","3","","72","","","","","","","AYUDACOD_ISCO88"
"7211","7211","Moldeadores y macheros","4","","721","","","","","","","AYUDACOD_ISCO88"
"7212","7212","Soldadores y oxicortadores","4","","721","","","","","","","AYUDACOD_ISCO88"
"7213","7213","Chapistas y caldereros","4","","721","","","","","","","AYUDACOD_ISCO88"
"7214","7214","Montadores de estructuras metálicas","4","","721","","","","","","","AYUDACOD_ISCO88"
"7215","7215","Aparejadores y empalmadores de cables","4","","721","","","","","","","AYUDACOD_ISCO88"
"7216","7216","Buzos","4","","721","","","","","","","AYUDACOD_ISCO88"
"722","722","Herreros, herramientas y afines","3","","72","","","","","","","AYUDACOD_ISCO88"
"7221","7221","Herreros y forjadores","4","","722","","","","","","","AYUDACOD_ISCO88"
"7222","7222","Herramentistas y afines","4","","722","","","","","","","AYUDACOD_ISCO88"
"7223","7223","Reguladores y reguladores-operadores de máquinas herramientas","4","","722","","","","","","","AYUDACOD_ISCO88"
"7224","7224","Pulidores de metales y afiladores de herramientas","4","","722","","","","","","","AYUDACOD_ISCO88"
"723","723","Mecánicos y ajustadores de máquinas","3","","72","","","","","","","AYUDACOD_ISCO88"
"7231","7231","Mecánicos y ajustadores de vehículos de motor","4","","723","","","","","","","AYUDACOD_ISCO88"
"7232","7232","Mecánicos y ajustadores de motores de avión","4","","723","","","","","","","AYUDACOD_ISCO88"
"7233","7233","Mecánicos y ajustadores de máquinas agrícolas e industriales","4","","723","","","","","","","AYUDACOD_ISCO88"
"724","724","Mecánicos y ajustadores de equipos eléctricos y electrónicos","3","","72","","","","","","","AYUDACOD_ISCO88"
"7241","7241","Mecánicos y ajustadores electricistas","4","","724","","","","","","","AYUDACOD_ISCO88"
"7242","7242","Ajustadores electronicistas","4","","724","","","","","","","AYUDACOD_ISCO88"
"7243","7243","Mecánicos y reparadores de aparatos electrónicos","4","","724","","","","","","","AYUDACOD_ISCO88"
"7244","7244","Instaladores y reparadores de telégrafos y teléfonos","4","","724","","","","","","","AYUDACOD_ISCO88"
"7245","7245","Instaladores y reparadores de líneas eléctricas","4","","724","","","","","","","AYUDACOD_ISCO88"
"73","73","Mecánicos de precisión, artesanos, operarios de las artes gráficas y afines","2","","7","","","","","","","AYUDACOD_ISCO88"
"731","731","Mecánicos de precisión en metales y materiales similares","3","","73","","","","","","","AYUDACOD_ISCO88"
"7311","7311","Mecánicos y reparadores de instrumentos de precisión","4","","731","","","","","","","AYUDACOD_ISCO88"
"7312","7312","Constructores y afinadores de instrumentos musicales","4","","731","","","","","","","AYUDACOD_ISCO88"
"7313","7313","Joyeros, orfebres y plateros","4","","731","","","","","","","AYUDACOD_ISCO88"
"732","732","Alfareros, operarios de cristalerías y afines","3","","73","","","","","","","AYUDACOD_ISCO88"
"7321","7321","Alfareros y afines (barro, arcilla y abrasivos)","4","","732","","","","","","","AYUDACOD_ISCO88"
"7322","7322","Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio","4","","732","","","","","","","AYUDACOD_ISCO88"
"7323","7323","Grabadores de vidrio","4","","732","","","","","","","AYUDACOD_ISCO88"
"7324","7324","Pintores decoradores de vidrio, cerámica y otros materiales","4","","732","","","","","","","AYUDACOD_ISCO88"
"733","733","Artesanos de la madera, tejidos, cuero y materiales similares","3","","73","","","","","","","AYUDACOD_ISCO88"
"7331","7331","Artesanos de la madera y materiales similares","4","","733","","","","","","","AYUDACOD_ISCO88"
"7332","7332","Artesanos de los tejidos, el cuero y materiales similares","4","","733","","","","","","","AYUDACOD_ISCO88"
"734","734","Oficiales y operarios de las artes gráficas y afines","3","","73","","","","","","","AYUDACOD_ISCO88"
"7341","7341","Cajistas, tipógrafos y afines","4","","734","","","","","","","AYUDACOD_ISCO88"
"7342","7342","Estereotipistas y galvanotipistas","4","","734","","","","","","","AYUDACOD_ISCO88"
"7343","7343","Grabadores de imprenta y fotograbadores","4","","734","","","","","","","AYUDACOD_ISCO88"
"7344","7344","Operarios de la fotografía y afines","4","","734","","","","","","","AYUDACOD_ISCO88"
"7345","7345","Encuadernadores y afines","4","","734","","","","","","","AYUDACOD_ISCO88"
"7346","7346","Impresores de sericigrafía y estampadores a la plancha y en textiles","4","","734","","","","","","","AYUDACOD_ISCO88"
"74","74","Otros oficiales, operarios y artesanos de artes mecánicas y de otros oficios","2","","7","","","","","","","AYUDACOD_ISCO88"
"741","741","Oficiales y operarios del procesamiento de alimentos y afines","3","","74","","","","","","","AYUDACOD_ISCO88"
"7411","7411","Carniceros, pescaderos y afines","4","","741","","","","","","","AYUDACOD_ISCO88"
"7412","7412","Panaderos, pasteleros y confiteros","4","","741","","","","","","","AYUDACOD_ISCO88"
"7413","7413","Operarios de la elaboración de productos lácteos","4","","741","","","","","","","AYUDACOD_ISCO88"
"7414","7414","Operarios de la conservación de frutas, legumbres, verduras y afines","4","","741","","","","","","","AYUDACOD_ISCO88"
"7415","7415","Catadores y clasificadores de alimentos y bebidas","4","","741","","","","","","","AYUDACOD_ISCO88"
"7416","7416","Preparadores y elaboradores de tabaco y sus productos","4","","741","","","","","","","AYUDACOD_ISCO88"
"742","742","Oficiales y operarios del tratamiento de la madera, ebanistas y afines","3","","74","","","","","","","AYUDACOD_ISCO88"
"7421","7421","Operarios del tratamiento de la madera","4","","742","","","","","","","AYUDACOD_ISCO88"
"7422","7422","Ebanistas y afines","4","","742","","","","","","","AYUDACOD_ISCO88"
"2211","2211","Biólogos, botánicos, zoólogos y afines","4","","221","","","","","","","AYUDACOD_ISCO88"
"2212","2212","Farmacólogos, patólogos y afines","4","","221","","","","","","","AYUDACOD_ISCO88"
"2213","2213","Agrónomos y afines","4","","221","","","","","","","AYUDACOD_ISCO88"
"222","222","Médicos y profesionales afines (excepto el personal de enfermería y partería)","3","","22","","","","","","","AYUDACOD_ISCO88"
"2221","2221","Médicos","4","","222","","","","","","","AYUDACOD_ISCO88"
"2222","2222","Odontólogos","4","","222","","","","","","","AYUDACOD_ISCO88"
"2223","2223","Veterinarios","4","","222","","","","","","","AYUDACOD_ISCO88"
"2224","2224","Farmacéuticos","4","","222","","","","","","","AYUDACOD_ISCO88"
"2229","2229","Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes","4","","222","","","","","","","AYUDACOD_ISCO88"
"223","223","Personal de enfermería y partería de nivel superior","3","","22","","","","","","","AYUDACOD_ISCO88"
"2230","2230","Personal de enfermería y partería de nivel superior","4","","223","","","","","","","AYUDACOD_ISCO88"
"23","23","Profesionales de la enseñanza","2","","2","","","","","","","AYUDACOD_ISCO88"
"231","231","Profesores de universidades y otros establecimientos de la enseñanza superior","3","","23","","","","","","","AYUDACOD_ISCO88"
"2310","2310","Profesores de universidades y otros establecimientos de la enseñanza superior","4","","231","","","","","","","AYUDACOD_ISCO88"
"232","232","Profesores de la enseñanza secundaria","3","","23","","","","","","","AYUDACOD_ISCO88"
"2320","2320","Profesores de la enseñanza secundaria","4","","232","","","","","","","AYUDACOD_ISCO88"
"233","233","Maestros de nivel superior de la enseñanza primaria y preescolar","3","","23","","","","","","","AYUDACOD_ISCO88"
"2331","2331","Maestros de nivel superior de la enseñanza primaria","4","","233","","","","","","","AYUDACOD_ISCO88"
"2332","2332","Maestros de nivel superior de la enseñanza preescolar","4","","233","","","","","","","AYUDACOD_ISCO88"
"234","234","Maestros e instructores de nivel superior de la enseñanza especial","3","","23","","","","","","","AYUDACOD_ISCO88"
"2340","2340","Maestros e instructores de nivel superior de la enseñanza especial","4","","234","","","","","","","AYUDACOD_ISCO88"
"235","235","Otros profesionales de la enseñanza","3","","23","","","","","","","AYUDACOD_ISCO88"
"2351","2351","Especialistas en métodos pedagógicos y material didáctico","4","","235","","","","","","","AYUDACOD_ISCO88"
"2352","2352","Inspectores de la enseñanza","4","","235","","","","","","","AYUDACOD_ISCO88"
"2359","2359","Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes","4","","235","","","","","","","AYUDACOD_ISCO88"
"24","24","Otros profesionales científicos e intelectuales","2","","2","","","","","","","AYUDACOD_ISCO88"
"241","241","Especialistas en organización y administación de empresas y afines","3","","24","","","","","","","AYUDACOD_ISCO88"
"2411","2411","Contadores","4","","241","","","","","","","AYUDACOD_ISCO88"
"2412","2412","Especialistas en políticas y servicios de personal y afines","4","","241","","","","","","","AYUDACOD_ISCO88"
"2419","2419","Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes","4","","241","","","","","","","AYUDACOD_ISCO88"
"242","242","Profesionales del derecho","3","","24","","","","","","","AYUDACOD_ISCO88"
