index;Tipo de establecimiento turístico;Estado del dato;Anual;Medida;Total;
48;Hostal;Provisional;2024;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;22041;
49;Hostal;Provisional;2023;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;21002;
50;Hostal;Provisional;2022;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;20493;
51;Campings;Definitivo;2021;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;84550;
52;Campings;Definitivo;2020;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;81910;
53;Campings;Definitivo;2019;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;81893;
54;Campings;Definitivo;2018;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;81653;
55;Campings;Definitivo;2017;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;76793;
56;Campings;Definitivo;2016;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;82420;
57;Campings;Definitivo;2015;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;82749;
58;Campings;Provisional;2024;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;83670;
59;Campings;Provisional;2023;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;84157;
60;Campings;Provisional;2022;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;83967;
