"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE"
"032","A032","Acuicultura",3,"","03","Este grupo comprende la acuicultura (o piscicultura), es decir, el proceso de producción que incluye el cultivo o la cría (incluida la recogida) de organismos acuáticos (peces, moluscos, crustáceos, plantas, cocodrilos, caimanes y anfibios) con técnicas encaminadas a aumentar, por encima de las capacidades naturales del medio, la producción de los organismos en cuestión; (por ejemplo, manteniendo unas condiciones idóneas estables, suministrando una alimentación adecuada o proporcionando protección contra los predadores).
El cultivo/la cría se refieren al cultivo hasta la fase juvenil y/o adulta en cautividad de los organismos citados. Además, acuicultura comprende también la propiedad privada o pública de los organismos individuales a lo largo de toda la fase de cultivo o cría y el momento de su recogida.",""," ","SI","","AYUDACOD_CNAE09"
"0321","A0321","Acuicultura marina",4,"","032","Esta clase comprende:
- la cría de peces en agua marina, incluida la cría de peces marinos ornamentales
- la producción de larvas de bivalvos (ostras, mejillones, etc.), y larvas de otros moluscos, bogavantes jóvenes, camarones poslarvarios, alevines y jaramugos
- el cultivo de algas comestibles
- el cultivo de crustáceos, bivalvos, otros moluscos y otros animales de agua marina.

Esta clase comprende también:
- las actividades de acuicultura en aguas salobres
- las actividades de acuicultura en depósitos o embalses con agua salada
- la explotación de piscifactorías (marinas)
- la explotación de criaderos de gusanos marinos","Esta clase no comprende:
- la cría de ranas (véase 03.22)
- la explotación de cotos de pesca deportiva (véase 93.19)"," ","SI","","AYUDACOD_CNAE09"
"B","B","Industrias extractivas",1,"","","Las industrias extractivas comprenden la extracción de minerales en su estado natural: sólidos (el carbón y los minerales metálicos), líquidos (el petróleo), o gaseosos (el gas natural). La extracción puede lograrse mediante diversos métodos, como la minería subterránea o a cielo abierto, la explotación de pozos, la minería de los fondos marinos, etc.
Esta sección comprende las actividades suplementarias encaminadas a la preparación de los materiales en bruto para su comercialización, como la trituración, pulverización, limpieza, secado, clasificación y concentración de minerales, la licuefacción de gas natural y la aglomeración de combustibles sólidos. Estas operaciones con frecuencia las realizan las unidades que extrajeron el recurso u otras localizadas en las proximidades.
Las actividades extractivas se clasifican en divisiones, grupos y clases según el principal mineral producido. Las divisiones 05 y 06 corresponden a la extracción de combustibles fósiles (carbón, lignito, petróleo, gas); mientras que las divisiones 07 y 08 atañen a los minerales metálicos, otros minerales y productos de cantera.
Determinadas operaciones técnicas de la presente sección, en particular relacionadas con la extracción de hidrocarburos, pueden realizarlas también por cuenta de terceros unidades especializadas en calidad de servicio industrial, lo que se refleja en la división 09.","Esta sección no comprende:
- el tratamiento de los minerales extraídos (véase C Industria manufacturera)
- el uso en la construcción de los minerales extraídos sin una transformación previa (véase F Construcción)
- el embotellado de aguas naturales, minerales o de manantial en pozos y manantiales (véase 11.07)
- el triturado, la pulverización y demás tratamientos de determinadas tierras, rocas y minerales que no se lleven a cabo conjuntamente con la extracción en minas y canteras (véase 23.9) 
- la recogida, purificación y distribución de agua (véase 36.00)
- los estudios geológicos, geofísicos o simográficos (vèase 71.12)
- la preparación del terreno de las explotaciones mineras (véase 43.12)"," ","SI","","AYUDACOD_CNAE09"
"05","B05","Extracción de antracita, hulla y lignito",2,"","B","Esta división comprende la extracción de combustibles minerales sólidos procedentes tanto de explotaciones mineras subterráneas como a cielo abierto, y comprende operaciones (como la clasificación, la limpieza, la compresión y otros pasos necesarios para el transporte, etc.) que dan como resultado un producto comercializable.","Esta división no comprende la coquización (véase 19.10), ni los servicios relacionados con la extracción de antracita, hulla y lignito (véase 09.90), ni la fabricación de briquetas (véase 19.20)."," ","SI","","AYUDACOD_CNAE09"
"051","B051","Extracción de antracita y hulla",3,"","05","",""," ","","","AYUDACOD_CNAE09"
"0510","B0510","Extracción de antracita y hulla",4,"","051","Esta clase comprende:
- la extracción de hulla: la explotación de minas subterráneas o a cielo abierto, incluida la que se realiza mediante métodos de licuefacción
- el lavado, el cribado, la clasificación, la pulverización, la compresión, etc. de hulla con el fin de clasificar, mejorar la calidad o facilitar el transporte o el almacenamiento

Esta clase comprende también:
- la recuperación de hulla a partir de polvo de antracita","Esta clase no comprende:
- la extracción y aglomeración de lignito (véase 05.20)
- la extracción de turba (véase 08.92)
- las actividades complementarias para la extracción de hulla (véase 09.90)
- las perforaciones y sondeos para la extracción de hulla (véase 09.90)
- los hornos de coque para la producción de combustibles sólidos (véase 19.10)
- la fabricación de briquetas de hulla (véase 19.20)
- la producción de carbón vegetal (véase 20.14)
- los trabajos realizados para desarrollar o preparar propiedades para la extracción de hulla (véase 43.12)","","SI","","AYUDACOD_CNAE09"
"052","B052","Extracción de lignito",3,"","05","",""," ","","","AYUDACOD_CNAE09"
"0520","B0520","Extracción de lignito",4,"","052","Esta clase comprende:
- la extracción de lignito (carbón fósil): la explotación de minas subterráneas o a cielo abierto, incluida la que se realiza mediante métodos de licuefacción
- el lavado, la deshidratación, la pulverización y la compresión del lignito para mejorar la calidad o facilitar el transporte o el almacenamiento","Esta clase no comprende:
- la extracción de hulla (véase 05.10)
- la extracción de turba (véase 08.92)
- las actividades complementarias para la extracción de lignito (véase 09.90)
- las perforaciones y sondeos para la extracción de hulla (véase 09.90)
- la fabricación de briquetas de combustible de lignito (véase 19.20)
- la producción de carbón vegetal (véase 20.14)
- los trabajos realizados para desarrollar o preparar propiedades para la extracción de hulla (véase 43.12)"," ","SI","","AYUDACOD_CNAE09"
"A","A","Agricultura, ganadería, silvicultura y pesca ",1,"","","Esta sección comprende el aprovechamiento de los recursos naturales vegetales y animales, incluyendo las actividades de producción agrícola, cría y reproducción de animales, recolección de madera y de otras plantas y animales en una explotación o su hábitat natural.",""," ","SI","","AYUDACOD_CNAE09"
"01","A01","Agricultura, ganadería, caza y servicios relacionados con las mismas",2,"","A","Esta división incluye dos actividades fundamentales, la producción agrícola y la producción ganadera, incluyendo asimismo la agricultura orgánica, el cultivo de productos agrarios modificados genéticamente y la cría de animales modificados genéticamente. Esta división incluye la producción agrícola tanto en superficies a cielo abierto como en invernaderos. 

Esta división incluye también los servicios de apoyo a la agricultura, así como la caza, la captura de animales y las actividades relacionadas con las mismas.

El grupo 01.5 (Producción agrícola combinada con la producción ganadera) se aparta de los principios habituales de determinación de la actividad principal. En él se acepta que muchas explotaciones agrarias tienen una producción agrícola y ganadera razonablemente equilibrada y que sería arbitrario clasificarlas en una categoría u otra.","Las actividades agrarias excluyen cualquier elaboración posterior de los productos agrarios [clasificada en las divisiones 10 y 11 (Industrias de la alimentación y las bebidas), y 12 (Industria del tabaco)], aparte de la que resulta necesaria para prepararlos para los mercados primarios, que se incluye en esta división.

La división excluye los trabajos de construcción para la preparación de terrenos (por ejemplo, el abancalamiento, el drenaje, la preparación de arrozales, etc.), clasificada en la sección F (Construcción), y los compradores y asociaciones cooperativas que se dedican a la comercialización de productos agrarios clasificados en la sección G. Excluye también el mantenimiento y cuidado de jardines, clasificado en la clase 81.30 (Actividades de jardinería)."," ","SI","","AYUDACOD_CNAE09"
