"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE"
"011","A011","Cultivos no perennes",3,"","01","Se incluye en este grupo el cultivo de plantas no perennes, es decir, plantas que no duran más de dos temporadas. Se incluye el cultivo de estas plantas para la producción de semillas.",""," ","SI","","AYUDACOD_CNAE09"
"0111","A0111","Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas",4,"","011","Esta clase comprende todos los tipos de cultivo de cereales, leguminosas y semillas oleaginosas en superficies a cielo abierto. El cultivo de estos productos suele combinarse dentro de cada unidad agraria.

Esta clase comprende:
- el cultivo de cereales como:
 · trigo
 · trigo sarraceno o alforfón
 · maíz en grano 
 · sorgo
 · cebada
 · centeno
 · avena
 · mijo
 · alpiste
 · otros cereales n.c.o.p.
- el cultivo de leguminosas como:
 · alubias
 · habas
 · garbanzos
 · judía carilla
 · lentejas
 · altramuces
 · guisantes
 · otras leguminosas
- el cultivo de semillas oleaginosas como:
 · habas de soja
 · cacahuetes
 · semilla de algodón
 · semilla de ricino
 · semilla de linaza
 · semilla de mostaza
 · semilla de níger
 · colza
 · semilla de cártamo
 · semilla de sésamo
 · semillas de girasol
 · otras semillas oleaginosas","Esta clase no comprende:
- el cultivo de arroz (véase 01.12)
- el cultivo de maíz dulce (véase 01.13)
- el cultivo de maíz para pienso y forraje (véase 01.19) 
- el cultivo de alforfón o trigo sarraceno (véase 01.19)
- el cultivo de frutos oleaginosos (véase 01.26)"," ","SI","","AYUDACOD_CNAE09"
"0112","A0112","Cultivo de arroz",4,"","011","",""," ","","","AYUDACOD_CNAE09"
"0113","A0113","Cultivo de hortalizas, raíces y tubérculos",4,"","011","Esta clase comprende:
- el cultivo de hortalizas de hoja o tallo, como:
 · alcachofas
 · espárragos
 · coles
 · coliflor y brécol
 · lechuga y escarola
 · espinacas
 · otras hortalizas de hoja grande o tallo endeble
- el cultivo de hortalizas que dan frutos, como:
 · pepinos y pepinillos
 · berenjenas
 · tomates 
 · pimientos, excepto los destinados a secado (por ejemplo: ñora y pimiento choricero) o a la fabricación de especias
 · sandías
 · melón cantalupo
 · otros melones y hortalizas que dan frutos
- el cultivo de hortalizas con raíces, bulbos o tubérculos, como:
 · zanahorias
 · nabos
 · ajos
 · cebollas (incluidos chalotas)
 · puerros y otras hortalizas aliáceas
 · otras hortalizas con raíces, bulbos o tubérculos
- el cultivo de setas y trufas
- el cultivo de semillas de hortalizas, incluidas las semillas de remolacha azucarera y excluidas otras semillas de remolacha
- el cultivo de remolacha azucarera
- el cultivo de otras hortalizas
- el cultivo de raíces y tubérculos como:
 · patatas
 · boniatos y batatas
 · mandioca
 · ñame
 · otras raíces y tubérculos","Esta clase no comprende:
- el cultivo de chiles, pimientos destinados a secado (por ejemplo: ñora y pimiento choricero) o a la fabricación de especias, y de otras especias y plantas aromáticas (véase 01.28)
- el cultivo de blanco de seta (véase 01.30)"," ","SI","","AYUDACOD_CNAE09"
"0114","A0114","Cultivo de caña de azúcar",4,"","011","","Esta clase no comprende:
- el cultivo de remolacha azucarera (véase 01.13)"," ","SI","","AYUDACOD_CNAE09"
"0116","A0116","Cultivo de plantas para fibras textiles",4,"","011","Esta clase comprende:
- el cultivo de algodón
- el cultivo de yute, kenaf y otras fibras textiles blandas
- el cultivo de lino y cáñamo
- el cultivo de sisal y otras fibras textiles del género agave
- el cultivo de abacá, ramio y otras fibras textiles de origen vegetal
- el cultivo de otras plantas textiles",""," ","SI","","AYUDACOD_CNAE09"
"012","A012","Cultivos perennes",3,"","01","Este grupo comprende el cultivo de productos perennes, es decir, plantas que duran más de dos temporadas, bien porque se secan después de cada estación o porque crecen continuamente. Se incluye el cultivo de estas plantas para la producción de semillas.",""," ","SI","","AYUDACOD_CNAE09"
"0121","A0121","Cultivo de la vid",4,"","012","Esta clase comprende:
- el cultivo de uva para producción de vino y de uva de mesa en viñedos","Esta clase no comprende:
- la elaboración de vinos (véase 11.02)"," ","SI","","AYUDACOD_CNAE09"
"0122","A0122","Cultivo de frutos tropicales y subtropicales",4,"","012","Esta clase comprende:
- el cultivo de frutas tropicales y subtropicales:
 · aguacates
 · plátanos y llantenes
 · dátiles
 · higos
 · mangos
 · papayas
 · piñas
 · otras frutas tropicales y subtropicales",""," ","SI","","AYUDACOD_CNAE09"
"0123","A0123","Cultivo de cítricos",4,"","012","Esta clase comprende:
- el cultivo de agrios:
 · toronjas y pomelos
 · limones y limas
 · naranjas
 · tangerinas, mandarinas y clementinas
 · otros agrios",""," ","SI","","AYUDACOD_CNAE09"
"0124","A0124","Cultivo de frutos con hueso y pepitas",4,"","012","Esta clase comprende:
- el cultivo de frutas de pepita y frutas de hueso:
 · manzanas
 · albaricoques
 · cerezas y guindas
 · melocotones y nectarinas
 · peras y membrillos
 · ciruelas y endrinas
 · otras frutas de pepita y de hueso",""," ","SI","","AYUDACOD_CNAE09"
"0125","A0125","Cultivo de otros árboles y arbustos frutales y frutos secos",4,"","012","Esta clase comprende:
- el cultivo de bayas:
 · arándanos
 · grosellas
 · grosella espinosa
 · kiwis
 · frambuesas
 · fresas
 · otras bayas
- el cultivo de semillas de frutas
- el cultivo de frutos secos comestibles:
 · almendras
 · anacardos
 · castañas
 · avellanas
 · pistachos
 · nueces
 · otros frutos secos
- el cultivo de otras frutas de árbol y de arbusto:
 · algarrobas","Esta clase no comprende:
- el cultivo de cacahuetes (véase 01.11)
- el cultivo de cocos (véase 01.26)"," ","SI","","AYUDACOD_CNAE09"
"0126","A0126","Cultivo de frutos oleaginosos",4,"","012","Esta clase comprende:
- el cultivo de frutos oleaginosos:
 · cocos
 · aceitunas
 · palma de aceite
 · otros frutos oleaginosos","Esta clase no comprende:
- el cultivo de habas de soja, cacahuetes y otras semillas oleaginosas (véase 01.11)"," ","SI","","AYUDACOD_CNAE09"
"0127","A0127","Cultivo de plantas para bebidas",4,"","012","Esta clase comprende:
- el cultivo de plantas para bebidas:
 · café
 · té
 · mate
 · cacao
 · otras plantas para bebidas",""," ","SI","","AYUDACOD_CNAE09"
"0128","A0128","Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",4,"","012","Esta clase comprende:
- el cultivo de plantas aromáticas y especias perennes y no perennes:
 · pimienta (piper sop.)
 . chiles y pimientos destinados a secado (por ejemplo: ñora y pimiento choricero) o a la fabricación de especias
 · nuez moscada, macis y cardamomo
 · anís, anís estrellado e hinojo
 · canela
 · clavo
 · jengibre
 · vainilla
 · lúpulos
 · otras plantas aromáticas y especias
- el cultivo de plantas para la elaboración de fármacos y narcóticos","Esta clase no comprende:
- el cultivo de pimientos no destinados ni a secado ni a la fabricación de especias (véase 01.13)"," ","SI","","AYUDACOD_CNAE09"
"0129","A0129","Otros cultivos perennes",4,"","012","Esta clase comprende:
- el cultivo de árboles caucheros para la recolección de látex
- el cultivo de árboles de Navidad
- el cultivo de árboles para la extracción de savia
- el cultivo de materiales vegetales del tipo usado en cestería y espartería","Esta clase no comprende:
- el cultivo de flores, la producción de capullos de flores cortados y el cultivo de semillas de flores (véase 01.19) 
- la recolección de savia o gomas similares al caucho en estado silvestre (véase 02.30)"," ","SI","","AYUDACOD_CNAE09"
"013","A013","Propagación de plantas",3,"","01","",""," ","","","AYUDACOD_CNAE09"
"0130","A0130","Propagación de plantas",4,"","013","Esta clase comprende la producción de todos los productos vegetales para plantación, incluidos esquejes, serpollos y semilleros, para la reproducción directa de plantas o para producción de injertos mediante la selección de vástagos.

Esta clase comprende:
- el cultivo de plantas para plantación
- el cultivo de plantas ornamentales, incluida la turba para trasplantes
- el cultivo de plantas vivas para bulbos, raíces y tubérculos; esquejes y mugrones; esporas de setas 
- la explotación de viveros, salvo los viveros forestales
- el cultivo y venta de plantones de árboles (Febrero 2017)","Esta clase no comprende:
- el cultivo de plantas para la producción de semillas (véase 01.1 y 01.2)
- la explotación de viveros forestales (véase 02.10)"," ","SI","","AYUDACOD_CNAE09"
"014","A014","Producción ganadera",3,"","01","Este grupo comprende la cría (ganadería) y reproducción de todos los animales, excepto los acuáticos.","Este grupo no comprende:
- la estabulación de animales de granja y su cuidado (véase 01.62)
- la producción de pieles y cueros procedentes de mataderos (véase 10.11)"," ","SI","","AYUDACOD_CNAE09"
"0141","A0141","Explotación de ganado bovino para la producción de leche",4,"","014","Esta clase comprende:
- la cría y reproducción de ganado bovino lechero
- la producción de leche cruda de vaca o búfalo","Esta clase no comprende:
- el procesado de la leche (véase 10.54)"," ","SI","","AYUDACOD_CNAE09"
"0142","A0142","Explotación de otro ganado bovino y búfalos",4,"","014","Esta clase comprende:
- la cría y reproducción de ganado bovino y búfalos para carne
- la producción de esperma de bovino",""," ","SI","","AYUDACOD_CNAE09"
"0145","A0145","Explotación de ganado ovino y caprino",4,"","014","Esta clase comprende:
- la cría y reproducción de ganado ovino y caprino
- la producción de leche cruda de ganado ovino y caprino
- la producción de lana en bruto","Esta clase no comprende:
- el esquileo de animales por cuenta de terceros (véase 01.62)
- la producción de hilachas de lana (véase 10.11)
- el procesado de la leche (véase 10.54)"," ","SI","","AYUDACOD_CNAE09"
"0146","A0146","Explotación de ganado porcino",4,"","014","",""," ","","","AYUDACOD_CNAE09"
"0147","A0147","Avicultura",4,"","014","Esta clase comprende:
- la cría y reproducción de aves de corral
 · pollos, pavos, patos, ocas y pintadas 
- la producción de huevos de aves de corral 
- la explotación de incubadoras de aves de corral","Esta clase no comprende:
- la producción de plumas y plumón (véase 10.12)"," ","SI","","AYUDACOD_CNAE09"
"0149","A0149","Otras explotaciones de ganado",4,"","014","Esta clase comprende:
- la cría y reproducción de animales semidomesticados u otros animales vivos:
 · avestruces y emús 
 · otras aves (excepto aves de corral) 
 · insectos
 · conejos y otros animales de peletería
- la producción de pieles para peletería, pieles de reptiles y aves procedentes de granjas
- la explotación de criaderos de gusanos, moluscos terrestres, caracoles, etc.
- la cría de gusanos de seda y la sericultura
- la apicultura y la producción de miel y cera de abeja
- la cría y reproducción de animales de compañía (excepto peces):
 · gatos y perros
 · pájaros, como periquitos, etc.
 · hámsters, etc.
- la cría de animales diversos
- la producción de huevos de codorniz frescos y huevo de codorniz para incubar (Febrero 2017)","Esta clase no comprende:
- la producción de cueros y pieles procedentes de la caza y captura de animales (véase 01.70)
- la explotación de criaderos de ranas, cocodrilos, gusanos marinos (véase 03.21, 03.22)
- la acuicultura (véase 03.21, 03.22)
- el adiestramiento de animales domésticos (véase 96.09)
- la cría y reproducción de aves de corral (véase 01.47)"," ","SI","","AYUDACOD_CNAE09"
"015","A015","Producción agrícola combinada con la producción ganadera",3,"","01","",""," ","","","AYUDACOD_CNAE09"
"0150","A0150","Producción agrícola combinada con la producción ganadera",4,"","015","Esta clase comprende la producción mixta agrícola y ganadera sin especialización en ninguna de ellas. El tamaño de la explotación general no es un factor determinante. Si la producción agrícola o la producción ganadera en una unidad determinada representa el 66 % o más de los márgenes brutos normales, la actividad conjunta no debería incluirse en este apartado, sino asignarse a producción agrícola o a producción ganadera.","Esta clase no comprende:
- la producción combinada de varios productos agrícolas (véase 01.1 y 01.2)
- la producción ganadera combinada de distintas especies (véase 01.4)"," ","SI","","AYUDACOD_CNAE09"
"016","A016","Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",3,"","01","Este grupo comprende las actividades relacionadas con la producción agrícola y otras similares a la agricultura que no tienen fines de producción (en el sentido de cosecha de productos agrarios), y realizadas por cuenta de terceros. Se incluyen también las actividades posteriores a la cosecha destinadas a preparar los productos agrarios para el mercado primario.",""," ","SI","","AYUDACOD_CNAE09"
"0161","A0161","Actividades de apoyo a la agricultura",4,"","016","Esta clase comprende:
- las actividades agrícolas por cuenta de terceros:
 · la preparación de terrenos de cultivo
 · la siembra de cultivos
 · el tratamiento de los cultivos
 · la fumigación de los cultivos, incluida la fumigación aérea
 · la poda de los árboles frutales y las vides
 · el trasplante de los tallos de arroz y el raleo de las remolachas
 · la cosecha
 · el control de las plagas (incluida la de conejos) en relación con la agricultura
- el mantenimiento del terreno agrícola en buenas condiciones agrícolas y medioambientales
- la explotación de equipos agrícolas de riego

Esta clase comprende también:
- la provisión de maquinaria agraria con operarios","Esta clase no comprende:
- las actividades posteriores a la cosecha (véase 01.63)
- el drenaje de tierras agrícolas (véase 43.12)
- la planificación paisajística (véase 71.11)
- las actividades de agrónomos y economistas agrarios (véase 74.90)
- el mantenimiento de jardines (véase 81.30)
- la organización de ferias y muestras agrícolas (véase 82.30)"," ","SI","","AYUDACOD_CNAE09"
"0162","A0162","Actividades de apoyo a la ganadería",4,"","016","Esta clase comprende:
- las actividades ganaderas por cuenta de terceros:
 · las actividades destinadas al fomento, desarrollo y producción de ganado
 · los servicios de control del ganado, de su conducción, de pasturaje, de castración de aves de corral, de limpieza de corrales, etc.
 · las actividades relacionadas con la inseminación artificial
 · los servicios de oferta de sementales
 · el esquileo de ovejas
 · la estabulación de animales de granja y su cuidado

Esta clase comprende también:
- las actividades de herraje
- la incubación automática de huevos para las aves de corral (Febrero 2017)
- los sistemas de gestión de las operaciones de ganado (Febrero 2017)","Esta clase no comprende:
- la provisión de espacio sólo para alojamiento de animales (véase 68.20)
- los servicios veterinarios (véase 75.00)
- la vacunación de animales (véase 75.00)
- el alquiler de animales (por ejemplo, rebaños) (véase 77.39)
- el alojamiento de animales de compañía (véase 96.09)"," ","SI","","AYUDACOD_CNAE09"
"0163","A0163","Actividades de preparación posterior a la cosecha",4,"","016","Esta clase comprende:
- la preparación de cultivos para los mercados primarios (limpieza, recorte de hojas y pedúnculos, clasificación, desinfección)
- el desmotado de algodón
- la preparación de hojas de tabaco (por ejemplo, secado)
- la preparación de granos de cacao (por ejemplo, pelado)
- el encerado de la fruta
- el secado al sol de frutas y verduras
- el secado al sol del tabaco (Febrero 2017)
- el secado al sol de hierbas y especias (Febrero 2017)","Esta clase no comprende:
- la preparación de productos agrarios por el productor (véase la clase correspondiente en los grupos 01.1, 01.2 ó 01.3)
- las actividades posteriores a la cosecha orientadas a la mejora de la calidad reproductiva de las semillas (véase 01.64) 
- desvenado y resecado del tabaco (véase 12.00)
- las actividades de marketing efectuadas por intermediarios a comisión y por asociaciones cooperativas (véase 46)
- el comercio al por mayor de materias primas agrarias (véase 46.2)"," ","SI","","AYUDACOD_CNAE09"
"017","A017","Caza, captura de animales y servicios relacionados con las mismas",3,"","01","",""," ","","","AYUDACOD_CNAE09"
"0170","A0170","Caza, captura de animales y servicios relacionados con las mismas",4,"","017","Esta clase comprende:
- la caza y captura de animales con fines comerciales
- el aprovechamiento de los animales (vivos o muertos) para carne, pieles, cueros o para utilizarlos en la investigación, en zoológicos o como animales de compañía
- la producción de pieles para peletería, de pieles de reptiles y aves procedentes de la caza 



Esta clase comprende también:
- la captura, en instalaciones en tierra, de mamíferos marinos como focas y morsas
- la captura de ranas en la naturaleza (Febrero 2017)","Esta clase no comprende:
- la producción de pieles para peletería, de pieles de reptiles y aves procedentes de granjas (véase 01.49)
- la cría de animales para repoblación cinegética en granjas (véase 01.49)
- la captura de ballenas (véase 03.11)
- la producción de pieles y cueros procedentes de mataderos (véase 10.11)
- la caza deportiva o recreativa y las actividades de los servicios relacionados con estas actividades (véase 93.19)
- las actividades de los servicios destinados a fomentar la caza y captura de animales (véase 94.99)"," ","SI","","AYUDACOD_CNAE09"
"02","A02","Silvicultura y explotación forestal",2,"","A","Esta división comprende la producción de madera en rollo, así como la extracción y recolección de productos forestales silvestres no madereros. Además de la producción de madera, la silvicultura da lugar a productos que sufren escasa elaboración, como la leña, el carbón y la madera en rollo utilizada sin tratar (por ejemplo, puntales para minas, madera para pasta, etc.). Estas actividades pueden realizarse en bosques naturales o plantados.","Se excluye la elaboración posterior de la madera, a partir del aserrado y cepillado de la madera (véase 16)."," ","SI","","AYUDACOD_CNAE09"
"021","A021","Silvicultura y otras actividades forestales",3,"","02","",""," ","","","AYUDACOD_CNAE09"
"0210","A0210","Silvicultura y otras actividades forestales",4,"","021","Esta clase comprende:
- el cultivo de madera en pie: la plantación, la repoblación, el trasplante, el raleo y la conservación de bosques y zonas forestales
- el cultivo de sotos, madera para pasta y madera para combustible
- la explotación de viveros forestales
- el cultivo de paulownia y sauce (Febrero 2017)

Estas actividades pueden realizarse en bosques naturales o plantados.","Esta clase no comprende:
- el cultivo de árboles de Navidad (véase 01.29)
- la explotación de viveros, excepto para árboles forestales (véase 01.30)
- la recolección de setas y otros productos forestales silvestres no madereros (véase 02.30)
- la producción de astillas y partículas de madera (véase 16.10)"," ","SI","","AYUDACOD_CNAE09"
"0220","A0220","Explotación de la madera",4,"","022","Esta clase comprende:
- la producción de madera en rollo o en bruto para las industrias manufactureras
- la producción de madera en rollo o en bruto utilizada sin tratar para usos como los puntales para minas, estacas para vallas y postes para tendidos eléctricos y de comunicaciones
- recolección y producción de madera como recurso energético
- recolección y producción de residuos de la explotación forestal como recurso energético
- producción de carbón en el bosque (utilizando métodos tradicionales)

Los productos resultantes de esta actividad pueden ser en forma de troncos o madera para combustible.","Esta clase no comprende:
- el cultivo de árboles de Navidad (véase 01.29)
- el cultivo de madera en pie: la plantación, la repoblación, el trasplante, el raleo y la conservación de bosques y zonas forestales (véase 02.10)
- la recolección de productos forestales silvestres no madereros (véase 02.30)
- la producción de astillas y partículas de madera (véase 16.10)
- la producción de carbón por medio de la destilación de madera (véase 20.14)"," ","SI","","AYUDACOD_CNAE09"
"023","A023","Recolección de productos silvestres, excepto madera",3,"","02","",""," ","","","AYUDACOD_CNAE09"
"024","A024","Servicios de apoyo a la silvicultura",3,"","02","",""," ","","","AYUDACOD_CNAE09"
"0240","A0240","Servicios de apoyo a la silvicultura",4,"","024","Esta clase comprende la ejecución de parte de la explotación forestal, realizada por cuenta de terceros.
Esta clase comprende:
- las actividades de los servicios forestales:
 · la evaluación de masas en pie
 · los servicios de asesoramiento en gestión forestal
 · la estimación del valor de la madera
 · la prevención y extinción de incendios forestales
 · la lucha contra las plagas forestales
- los servicios relacionados con la explotación forestal:
 · el transporte de madera en el interior del bosque","Esta clase no comprende:
- la explotación de viveros forestales (véase 02.10)
- el drenaje de terrenos forestales (véase 43.12)
- la limpieza de escombros (véase 43.12)"," ","SI","","AYUDACOD_CNAE09"
"03","A03","Pesca y acuicultura",2,"","A","Esta división comprende la pesca y la acuicultura, y cubre la utilización de los recursos pesqueros de los medios marinos, de aguas salobres o agua dulce, con el fin de capturar o recolectar peces, crustáceos, moluscos y otros organismos y productos del mar (por ejemplo, plantas acuáticas, perlas, esponjas, etc.).
Incluye también las actividades que están integradas normalmente en el proceso de producción por cuenta propia (por ejemplo, el injerto de ostras para la producción de perlas). En las actividades relacionadas con la pesca o la acuicultura se incluyen los servicios relacionados con la pesca marina, de agua dulce o la acuicultura.","Esta división no incluye la construcción y reparación de barcos (30.1, 33.15), ni la pesca deportiva o recreativa (93.19). Se excluye la elaboración de pescados, crustáceos y moluscos, tanto en instalaciones en tierra como en buques factoría (grupo 10.2)."," ","SI","","AYUDACOD_CNAE09"
"031","A031","Pesca",3,"","03","Este grupo comprende la pesca, es decir, las actividades de captura y recolección de organismos acuáticos vivos (en especial, pescado, moluscos y crustáceos), incluidas las plantas de las aguas oceánicas, costeras o continentales para consumo humano y otros fines, a mano o por medio de cualquier arte de pesca como redes, palangres o trampas fijas. Tales actividades pueden realizarse en la línea de costa intermareal (por ejemplo, la captura de moluscos como los mejillones y las ostras) o instalando redes en la costa, o bien con pequeñas embarcaciones o utilizando grandes buques pesqueros, tanto en aguas de bajura o costeras como de altura. Tales actividades incluyen también la pesca en masas de agua repobladas.",""," ","SI","","AYUDACOD_CNAE09"
"0311","A0311","Pesca marina",4,"","031","Esta clase comprende:
- la pesca marítima (incluida la costera) con fines comerciales
- la captura de moluscos y crustáceos marinos
- la captura de ballenas
- la captura de animales acuáticos marinos: tortugas, ascidias y otros tunicados, erizos de mar, etc.

Esta clase comprende también:
- las actividades de las embarcaciones dedicadas simultáneamente a la pesca marina y a la preparación y conservación del pescado
- la captura de otros organismos y materiales marinos: perlas naturales, esponjas, coral y algas","Esta clase no comprende:
- la captura de mamíferos marinos, excepto ballenas, por ejemplo: morsas y focas (véase 01.70)
- el procesado de ballenas a bordo de buques factoría (véase 10.11)
- la elaboración de pescado, crustáceos y moluscos en buques factoría o en factorías en tierra (véase 10.2)
- el alquiler de embarcaciones de recreo con tripulación para transporte marítimo (incluido el costero) (por ejemplo, para cruceros de pesca) (véase 50.10)
- los servicios de inspección, de protección y de patrulla pesqueros (véase 84.24)
- la pesca deportiva o de recreo y servicios afines (véase 93.19)
- la explotación de cotos de pesca deportiva (véase 93.19)"," ","SI","","AYUDACOD_CNAE09"
"103","C103","Procesado y conservación de frutas y hortalizas",3,"","10","",""," ","","","AYUDACOD_CNAE09"
